id,name,doi,paragraph,synonyms,language,authors
11,BeautifulSoup,10.1186/1751-0473-8-9,"While we believe that the approach taken by twill and the robust parsing provided by BeautifulSoup will prevent many upstream changes breaking these wrappers, inevitably breakage will occur","Beautiful Soup”,beautiful-soup,BeautifulSoup Python library,Beautiful,BeautifulSoup Python Package,Beautiful soup,Beautiful Soup,BeatifulSoup,BeautifulSoup4,beautifulsoup4,BeautifulSoup9,BeautifulSoup 4 (PyPi)",,"Andrew Perry,Bosco Ho"
12,BeautifulSoup,10.1186/s12859-020-3540-8,"For the prior knowledge from UniProt KB, we use Bioservices, urllib, BeautifulSoup tool does finish a series of processes","Beautiful Soup”,beautiful-soup,BeautifulSoup Python library,Beautiful,BeautifulSoup Python Package,Beautiful soup,Beautiful Soup,BeatifulSoup,BeautifulSoup4,beautifulsoup4,BeautifulSoup9,BeautifulSoup 4 (PyPi)",,"Zhijing Li,Yuchen Lian,Xiaoyong Ma,Xiangrong Zhang,Chen Li"
13,BeautifulSoup,10.1371/journal.pone.0018657,"Data collection scripts were coded in Python version 2.5.2 (many libraries were used, including EUtils, BeautifulSoup, pyparsing and nltk [47]) and SQLite version 3.4","Beautiful Soup”,beautiful-soup,BeautifulSoup Python library,Beautiful,BeautifulSoup Python Package,Beautiful soup,Beautiful Soup,BeatifulSoup,BeautifulSoup4,beautifulsoup4,BeautifulSoup9,BeautifulSoup 4 (PyPi)",Python,Heather Piwowar
14,BeautifulSoup,10.2196/10986,"To extract the content of a Web page from the HTML source we tested: BeautifulSoup, Naive [68], which just naively removes HTML tags and Boilerpipe, Boi [78] and Justext, Jst [79], which eliminates boilerplate text together with HTML tags","Beautiful Soup”,beautiful-soup,BeautifulSoup Python library,Beautiful,BeautifulSoup Python Package,Beautiful soup,Beautiful Soup,BeatifulSoup,BeautifulSoup4,beautifulsoup4,BeautifulSoup9,BeautifulSoup 4 (PyPi)",,"João Palotti,Guido Zuccon,Allan Hanbury"
15,BeautifulSoup,10.3389/fmolb.2021.620475,BeautifulSoup is used for extracting the text between paragraphs (<p>) and tables (<table>) tags,"Beautiful Soup”,beautiful-soup,BeautifulSoup Python library,Beautiful,BeautifulSoup Python Package,Beautiful soup,Beautiful Soup,BeatifulSoup,BeautifulSoup4,beautifulsoup4,BeautifulSoup9,BeautifulSoup 4 (PyPi)",,"Paola Turina,Piero Fariselli,Emidio Capriotti"
16,BeautifulSoup,10.3389/fvets.2021.674730,"The HTML and XML document parser, BeautifulSoup, from Python module BS4 was implemented to parse the source page; multimodal texts of Web page sources were extracted as BeatifulSoup object","Beautiful Soup”,beautiful-soup,BeautifulSoup Python library,Beautiful,BeautifulSoup Python Package,Beautiful soup,Beautiful Soup,BeatifulSoup,BeautifulSoup4,beautifulsoup4,BeautifulSoup9,BeautifulSoup 4 (PyPi)",Python,"Majid Jaberi‐Douraki,Soudabeh Taghian Dinani,Nuwan Indika Millagaha Gedara,Xuan Xu,E. Richards,Fiona Maunsell,Nader Zad,Lisa A. Tell"
17,BeautifulSoup,10.3390/ani8020025,"Data were extracted using the BeautifulSoup module in Python Version 3.2.1 (Python Software Foundation, Wilmington, DE, USA) to parse the ads, then cleaned and analyzed using R (The R Foundation, Vienna, Austria) and Pivot tables in Microsoft Excel® 2013 (Microsoft, Redmond, WA, USA)","Beautiful Soup”,beautiful-soup,BeautifulSoup Python library,Beautiful,BeautifulSoup Python Package,Beautiful soup,Beautiful Soup,BeatifulSoup,BeautifulSoup4,beautifulsoup4,BeautifulSoup9,BeautifulSoup 4 (PyPi)",Python,"Susan Hazel,Caitlin J. Jenvey,Jonathan Tuke"
18,BeautifulSoup,10.3390/s21165496,"As for their experimental setup, the authors used: (1) the NLTK library to compute Morphological Features, (2) the Linguistic Inquiry and Word Count for Psychological Features, (3) Textstat for Readability Features, as well as (4) BeautifulSoup and Newspaper for web-markup features","Beautiful Soup”,beautiful-soup,BeautifulSoup Python library,Beautiful,BeautifulSoup Python Package,Beautiful soup,Beautiful Soup,BeatifulSoup,BeautifulSoup4,beautifulsoup4,BeautifulSoup9,BeautifulSoup 4 (PyPi)",,"Constantinos-Giovanni Xarhoulacos,Argiro Anagnostopoulou,George Stergiopoulos,Dimitris Gritzalis"
19,CoAPthon,10.3390/s19030716,"For CoAP, CoAPthon [21], an open-source implementation, was employed to simulate communications and messages were collected from the communication channel",CoAPthon3,,"Xin Luo,Dan Chen,Yongjun Wang,Peidai Xie"
20,CoAPthon,10.3390/s19245467,"Hence, a variety of IoT libraries, such as CoAPthon [27], and frameworks [28], such as IDeA, FRASAD, D-LITe, IoTLink, WebRTC based IoT application Framework, Datatweet, IoTSuite and RapIoT, have been developed to manage those complexities.",CoAPthon3,,"Iván Ruiz‐Rube,José Miguel Mota,Tatiana Person,José María Rodríguez Corral,Juan Manuel Dodero"
21,DiagrammeRsvg,10.1038/s41598-021-91205-3,All statistical analyses were performed using R version 3.6.1 including the following packages: esc; effectsize; meta; metafor; dmetar: DiagrammeR; DiagrammeRsvg; and ggplot2,"Diagram,DiagrammeR,Diagrammer",R,Ray Norbury
22,Django,10.1016/j.heliyon.2019.e02622,"The auto-assessment tool is built on Windows Server 2016 and contains Django Web framework for user interface, PTC Creo Parametric 3.0 M110 to open and run CAD models, Python (version 3.5.4) wrapper for Creo's Visual Basic API for commanding Creo, and Celery for queue tasks","Django Python Web framework,Djangology,Django CMS,Django Python,django,DJANGOS,Django web,Django-rest,django-open,django-auth,Django Web",Python,"Kaur Jaakma,Panu Kiviluoma"
23,Django,10.1093/database/bax073,"Django is a free and open-source framework, written in Python, which encourages rapid software development and clean, pragmatic design, facilitating the tasks of creating complex, database-driven Web applications","Django Python Web framework,Djangology,Django CMS,Django Python,django,DJANGOS,Django web,Django-rest,django-open,django-auth,Django Web",Python,"S. M. Niaz Arifin,Gregory R. Madey,Alexander Vyushkov,Benoit Raybaud,Thomas R. Burkot,Frank H. Collins"
24,Django,10.1186/1471-2164-15-371,"The web interface is powered by a Python application built on Django (an open source web framework), HTML/CSS and Javascript","Django Python Web framework,Djangology,Django CMS,Django Python,django,DJANGOS,Django web,Django-rest,django-open,django-auth,Django Web",Python,"José B. Pereira‐Leal,Isabel A. Abreu,Cláudia S Alabaça,Maria Helena Almeida,Paulo Almeida,Tânia Almeida,Isabel Amorim,Susana de Sousa Araújo,Herlânder Azevedo,Aleix Badia,Dora Batista,Andreas Böhn,Tiago Capote,Isabel Carrasquinho,Inês Chaves,Ana Cristina Coelho,Maria Manuela Ribeiro Costa,Rita Costa,Alfredo Cravador,Conceição Egas,Carlos Faro,Ana Margarida Fortes,Ana S. Fortunato,Maria João Gaspar,Sónia Gonçalves,José Graça,Marília Horta Jung,Vera Inácio,José Leitão,Teresa Lino‐Neto,Liliana Marum,José Matos,Diogo Mendonça,Andreia Miguel,Celia María Gonzalo Miguel,Leonor Morais‐Cecílio,Isabel Queirós Neves,Filomena Nóbrega,M. Margarida Oliveira,Rute Oliveira,Jorge C. Pais,Jorge A. P. Paiva,Octávio S. Paulo,Miguel Pinheiro,João Raimundo,José C. Ramalho,Ana I. Ribeiro‐Barros,Teresa Ribeiro,Margarida Rocheta,Ana Raquel Rodrigues,José Carlos Rodrígues,Nelson J. M. Saibo,Tatiana Santo,Ana Cláudia dos Santos,Paula Sá–Pereira,Mónica Sebastiana,Fernanda Simões,Rómulo Sobral,R. M. Tavares,Rita Teixeira,J.A. Varela,Maria das Dores Magalhães Veloso,Cândido PP Ricardo"
25,Django,10.1186/s12859-018-2082-9,"DecoFungi is implemented in Python using several open-source libraries: Django (as the Web application framework), OpenCV (library for image processing and computer vision), the Keras framework with a Tensorflow back-end (provides the deep learning techniques), and the scikit-learn library (library for machine learning).","Django Python Web framework,Djangology,Django CMS,Django Python,django,DJANGOS,Django web,Django-rest,django-open,django-auth,Django Web",Python,"César Domínguez,Jónathan Heras,Eloy Mata,Vico Pascual"
26,Django,10.1186/s12911-019-0750-y,"The main tools and the development environments that we utilized in developing VIADS include Django, Python, JavaScript, Vis.js, Graph.js, JQuery, Plotly, Chart.js, Unittest, R, and MySQL","Django Python Web framework,Djangology,Django CMS,Django Python,django,DJANGOS,Django web,Django-rest,django-open,django-auth,Django Web",Python,"Xia Jing,Matthew Emerson,David Masters,Matthew Brooks,Jacob Buskirk,Nasseef Abukamail,Chang Liu,James J. Cimino,Jay H. Shubrook,Sonsoles de Lacalle,Yuchun Zhou,Vimla L. Patel"
27,Django,10.3389/fimmu.2019.02820,"This web tool was built using the Django web framework (24) and makes use of several Python libraries including scikit-learn (23), SciPy (25), Pyteomics (26), Altair (27), NumPy (28), Pandas (29), and Dask (30)","Django Python Web framework,Djangology,Django CMS,Django Python,django,DJANGOS,Django web,Django-rest,django-open,django-auth,Django Web",Python,"Sofie Gielis,Pieter Moris,Wout Bittremieux,Nicolas De Neuter,Benson Ogunjimi,Kris Laukens,Pieter Meysman"
28,Django,10.3390/metabo5030431,The Django Python package makes building web requests that integrated diverse data stores straightforward [19] The API defined in Django allows access to both of these resources.,"Django Python Web framework,Djangology,Django CMS,Django Python,django,DJANGOS,Django web,Django-rest,django-open,django-auth,Django Web",Python,"Yushu Yao,Terence Sun,Tony Wang,Oliver Ruebel,Trent R. Northen,Benjamin P. Bowen"
29,Django,10.3390/s20102962,"However, the cloud platform is being re-developed from scratch to create a highly scalable cloud, using Angular [43] for web development, and Django [44] as the web framework, with OAuth 2.0 authentication [45]","Django Python Web framework,Djangology,Django CMS,Django Python,django,DJANGOS,Django web,Django-rest,django-open,django-auth,Django Web",,"Santiago González Izard,Ramiro Sánchez Torres,Óscar Alonso Plaza,Juan Antonio Juanes Méndez,Francisco José García‐Peñalvo"
30,Django,10.3390/vaccines8040709,The ML models with the best performance were implemented on a web server using the Python and Django framework,"Django Python Web framework,Djangology,Django CMS,Django Python,django,DJANGOS,Django web,Django-rest,django-open,django-auth,Django Web",Python,"Ivan Dimitrov,Nevena Zaharieva,Irini Doytchinova"
31,Django,10.4269/ajtmh.2011.10-0528,The RapidSMS™ platform is based on the Django web framework and written in Python programming language,"Django Python Web framework,Djangology,Django CMS,Django Python,django,DJANGOS,Django web,Django-rest,django-open,django-auth,Django Web",Python,"Caroline Asiimwe,David Gelvin,Evan Lee,Yanis Ben Amor,Ebony Quinto,Charles Katureebe,S. Lakshmi,David S.H. Bell,Matt Berg"
32,FinCal,10.3390/insects12040298,"To calculate the profitability criteria, the FinCal package [37] was used",inCal,,"Ouorou Ganni Mariel Guera,Federico Castrejón-Ayala,Norma Robledo,Alfredo Jiménez‐Pérez,Georgina Sánchez-Rivera,Lilia Salazar-Marcial,Hilda Elizabet Flores Moctezuma"
33,Flask,10.1038/s41598-021-87134-w,"We developed a user-friendly web-server to implement the BChemRF-CPPred, which was coded using Flask, HTML, CSS, and JavaScript programming languages","Flask Python library,FLASKA,Python Flask,Flask MVC,Flask Python,Flask Python Framework,FLAS,Flask Web",JavaScript,"Ewerton Cristhian Lima de Oliveira,Kauê Santana da Costa,Luiz Patrick Cordeiro Josino,Anderson Henrique Lima e Lima,Claudomiro Sales"
34,Flask,10.1093/bioinformatics/bty999,"GBE extends the ExAC browser (Karczewski ) which is built in Python, utilizes Flask framework and uses d3 and plot.ly for plot rendering","Flask Python library,FLASKA,Python Flask,Flask MVC,Flask Python,Flask Python Framework,FLAS,Flask Web",Python,"Gregory McInnes,Yosuke Tanigawa,Chris DeBoever,Adam Lavertu,Julia Olivieri,Matthew Aguirre,Manuel A. Rivas"
35,Flask,10.1093/database/baaa106,Python 3 using Flask was used as the framework programming language to develop a common interface (Figure 1).,"Flask Python library,FLASKA,Python Flask,Flask MVC,Flask Python,Flask Python Framework,FLAS,Flask Web",Python,"Edgardo Galán-Vásquez,Beatríz Luna,Marcelino Ramírez-Ibáñez,Agustino Martı́nez-Antonio"
36,Flask,10.1093/database/baw052,"The frontend HTML is designed using Flask (version 0.10.1), a web framework for Python (version 3.4.1)","Flask Python library,FLASKA,Python Flask,Flask MVC,Flask Python,Flask Python Framework,FLAS,Flask Web",Python,"Christopher Hardt,Moritz Emanuel Beber,Axel Rasche,Atanas Kamburov,Dennie G.A.J. Hebels,Jos Kleinjans,Ralf Herwig"
37,Flask,10.1093/database/baz075,The database was developed by using Flask framework with Python 3.4 and MySQL,"Flask Python library,FLASKA,Python Flask,Flask MVC,Flask Python,Flask Python Framework,FLAS,Flask Web",Python,"Chien‐Yueh Lee,Amrita Chattopadhyay,Li-Mei Chiang,Jyh‐Ming Jimmy Juang,Liang‐Chuan Lai,Mong‐Hsun Tsai,Tzu‐Pin Lu,Eric Y. Chuang"
38,Flask,10.1093/gigascience/giz060,"The web application uses Flask and Nginx on a virtual machine, as well as Gunicorn as a Web Server Gateway Interface","Flask Python library,FLASKA,Python Flask,Flask MVC,Flask Python,Flask Python Framework,FLAS,Flask Web",,"Zhi Zhang,Paul P. Jung,Valentin Grouès,Patrick May,Carole L. Linster,Enrico Glaab"
39,Flask,10.3390/genes12081117,The web server uses the Python programming language with the Flask library,"Flask Python library,FLASKA,Python Flask,Flask MVC,Flask Python,Flask Python Framework,FLAS,Flask Web",Python,"Waleed Alam,Hilal Tayara,Kil To Chong"
40,Flask,10.3390/ijerph17145243,The Python/Flask API template was then fleshed out with code logic to process API input parameters and form appropriate SQL queries to return requested exposures data.,"Flask Python library,FLASKA,Python Flask,Flask MVC,Flask Python,Flask Python Framework,FLAS,Flask Web",Python,"Alejandro Valencia,Lisa Stillwell,Stephen J. Appold,Saravanan Arunachalam,Steven J. Cox,Hao Xu,Charles Schmitt,Shepherd H. Schurman,Stavros Garantziotis,William Xue,Stanley C. Ahalt,Karamarie Fecho"
41,Flask,10.3390/s18020474,"Flask, an MVC model, is used for better project organization and the need to bypass any middleware technologies","Flask Python library,FLASKA,Python Flask,Flask MVC,Flask Python,Flask Python Framework,FLAS,Flask Web",,"Shabir Ahmad,Lei Hang,Do Hyoung Kim"
42,Flask,10.7717/peerj-cs.144,"The core Flask code defines, via @-prefixed decorators, what actions should be performed when a user accesses specific URLs","Flask Python library,FLASKA,Python Flask,Flask MVC,Flask Python,Flask Python Framework,FLAS,Flask Web",,"Kyle Chard,Eli Dart,Ian Foster,David Shifflett,Steven Tuecke,Jason Williams"
43,GillespieSSA,10.1038/srep36301,Simulation were undertaken with the ssa() function of the GillespieSSA package14 using R software ( http://www.R-project.org/).,"R package “GillespieSSA,Gillespie,R package ‘GillespieSSA’,R-package GillespieSSA,GillespieSSA R,Gillespie2",R,"Philippe Vanhems,Rosette von Raesfeldt,René Écochard,Nicolas Voirin"
44,GillespieSSA,10.1186/s12859-019-2843-0,"On the other hand, individual libraries targeting epidemiological modelling, such as Epipy - a visualisation data tool for epidemiology written in Python [44], or GillespieSSA - an R package for generating stochastic simulation using Gillespie’s algorithms [45], cover only specific epidemiological needs.","R package “GillespieSSA,Gillespie,R package ‘GillespieSSA’,R-package GillespieSSA,GillespieSSA R,Gillespie2",R,"Mai Anh BUI T.,Nick Papoulias,Serge Stinckwich,Mikal Ziane,Benjamín Roche"
45,GillespieSSA,10.1371/journal.pbio.1001793,"Because the simulation function depends on the R-package GillespieSSA, install this package first by executing ‘install.packages(“GillespieSSA”)’ in R","R package “GillespieSSA,Gillespie,R package ‘GillespieSSA’,R-package GillespieSSA,GillespieSSA R,Gillespie2",R,"Patrick Kaiser,Roland R. Regoes,Tamas Dolowschiak,Sandra Y. Wotzka,Jette Lengefeld,Emma Slack,Andrew J. Grant,Martin Ackermann,Wolf‐Dietrich Hardt"
46,GillespieSSA,10.1371/journal.pone.0079345,"In an extensive search for available stochastic simulators, CAIN, COPASI, Facile-EasyStoch, GillespieSSA, and StochKit2 were identified as those with the closest functionality to StochPy","R package “GillespieSSA,Gillespie,R package ‘GillespieSSA’,R-package GillespieSSA,GillespieSSA R,Gillespie2",,"Timo Maarleveld,Brett G. Olivier,Frank J. Bruggeman"
47,GillespieSSA,10.3390/v7031189,"To simulate our system stochastically, we used the Gillespie algorithm [59], implemented with the GillespieSSA package in R (www.r-project.org)","R package “GillespieSSA,Gillespie,R package ‘GillespieSSA’,R-package GillespieSSA,GillespieSSA R,Gillespie2",R,"Cecilia Noecker,K. Aleks Schaefer,Kelly Zaccheo,Yiding Yang,Judy Day,Vitaly V. Ganusov"
48,HIV.LifeTables,10.1371/journal.pone.0096447,"We have released an R package, HIV.LifeTables [35], that implements the model described in this paper, and we will continue to develop and improve that package",,R,"David Sharrow,Samuel J. Clark,Adrian E. Raftery"
49,HydeNet,10.1111/risa.13580,"We use the R program HydeNet and the JAGS modeling framework to build a decision network that uses the collective administrative data to generate distributions for simulating posteriors under different surveillance scenarios (Nutter, n.d.; Plummer, 2004)",,R,"Ryan P. Scott,Alison C. Cullen,Guillaume Chabot‐Couture"
50,MG-RAST,10.1371/journal.pone.0052069,"These low values contrast with the Amazon River metagenome reads classified using BLASTX against NCBI-nr in MG-RAST, 49% of 1.1 million pyrosequencing reads [46]","MG-RAST53,MG-RAST BLAT,MG-RAST SEED,metagenomics rast,MG RAST,MG-RAST API,mg-rast - metagenomics analysis server,MG-RAST18,MG-RAST43,MG-Rast M5NR,MG-RASTv2,the metagenomics rast server,MG-RAST),MG-RAST23,MG-RASR,Metagenomics RAST,MG-RAST46,MG-RAST12,MG-Rast),The Metagenomics RAST server,MG-RASTv,MG-RAST - metagenomics analysis server,MG-RASTare,MG-RAST-API,MG-RASTa,mg-rast",,"Diego Javier Jiménez,Fernando Dini Andreote,Diego Gerardo Bogarín Chaves,José Salvador Montaña-Lara,César Osorio-Forero,Howard Junca,María Mercedes Zambrano,Sandra Baena"
51,MG-RAST,10.3389/fmicb.2015.00053,The assembled metagenomic dataset is publicly available on MG-RAST (http://metagenomics.anl.gov; project ID: 4529136.3),"MG-RAST53,MG-RAST BLAT,MG-RAST SEED,metagenomics rast,MG RAST,MG-RAST API,mg-rast - metagenomics analysis server,MG-RAST18,MG-RAST43,MG-Rast M5NR,MG-RASTv2,the metagenomics rast server,MG-RAST),MG-RAST23,MG-RASR,Metagenomics RAST,MG-RAST46,MG-RAST12,MG-Rast),The Metagenomics RAST server,MG-RASTv,MG-RAST - metagenomics analysis server,MG-RASTare,MG-RAST-API,MG-RASTa,mg-rast",,"Armin Erlacher,Tomislav Cernava,Massimiliano Cardinale,Jung Soh,Christoph W. Sensen,Martín Grube,Gabriele Berg"
52,MG-RAST,10.3389/fmicb.2017.00308,"Diversity (at class level) within metagenomic assemblies, as determined by MG-RAST ( Other represents classes with relative abundance <1% in any sample","MG-RAST53,MG-RAST BLAT,MG-RAST SEED,metagenomics rast,MG RAST,MG-RAST API,mg-rast - metagenomics analysis server,MG-RAST18,MG-RAST43,MG-Rast M5NR,MG-RASTv2,the metagenomics rast server,MG-RAST),MG-RAST23,MG-RASR,Metagenomics RAST,MG-RAST46,MG-RAST12,MG-Rast),The Metagenomics RAST server,MG-RASTv,MG-RAST - metagenomics analysis server,MG-RASTare,MG-RAST-API,MG-RASTa,mg-rast",,"Katrina I. Twing,William J. Brazelton,M. D. Kubo,Alex Hyer,Dawn Cardace,Tori M. Hoehler,T. M. McCollom,Matthew O. Schrenk"
53,MG-RAST,10.3389/fmicb.2019.02741,"The Taihu 2013 metatranscriptomes are publicly available on the MG-RAST (Meyer et al., 2008) server (ID: mgm4768721, mgm4768720, mgm4768724, mgm4768726, mgm4768728, mgm47687130) and the Lake Erie 2014 diel metatranscriptomes are available from the NCBI SRA database (SRP128942, SRP128954, SRP128945, SRP117911, SRP117914, SRA117922, SRA117915)","MG-RAST53,MG-RAST BLAT,MG-RAST SEED,metagenomics rast,MG RAST,MG-RAST API,mg-rast - metagenomics analysis server,MG-RAST18,MG-RAST43,MG-Rast M5NR,MG-RASTv2,the metagenomics rast server,MG-RAST),MG-RAST23,MG-RASR,Metagenomics RAST,MG-RAST46,MG-RAST12,MG-Rast),The Metagenomics RAST server,MG-RASTv,MG-RAST - metagenomics analysis server,MG-RASTare,MG-RAST-API,MG-RASTa,mg-rast",,"Lauren E. Krausfeldt,Morgan M. Steffen,R. Michael L. McKay,George S. Bullerjahn,Gregory L. Boyer,Steven W. Wilhelm"
54,MG-RAST,10.6026/97320630014031,MG-RAST server is an automated analysis platform for meta-genomes to present the quantitative understandings into microbial populations generated from sequencing data,"MG-RAST53,MG-RAST BLAT,MG-RAST SEED,metagenomics rast,MG RAST,MG-RAST API,mg-rast - metagenomics analysis server,MG-RAST18,MG-RAST43,MG-Rast M5NR,MG-RASTv2,the metagenomics rast server,MG-RAST),MG-RAST23,MG-RASR,Metagenomics RAST,MG-RAST46,MG-RAST12,MG-Rast),The Metagenomics RAST server,MG-RASTv,MG-RAST - metagenomics analysis server,MG-RASTare,MG-RAST-API,MG-RASTa,mg-rast",,Amr T. M. Saeb
55,MGDrivE,10.1186/s12915-020-0759-9,"Applying the MGDrivE modeling framework to our research questions, we incorporate the inheritance patterns of reciprocal chromosomal translocations and UDMEL into the inheritance module of the model (Fig. 1a, b, Additional file 2: Fig","MGDrivE2,GDrive,MGDrivE,MGDrive",,"Héctor M. Sánchez C.,Jared B. Bennett,Sean L. Wu,Gordana Rašić,Omar S. Akbari,John M. Marshall"
56,MGDrivE,10.1371/journal.pcbi.1009030,"In this paper, we describe the key developments implemented in MGDrivE 2","MGDrivE2,GDrive,MGDrivE,MGDrive",,"Sean L. Wu,Jared B. Bennett,Héctor M. Sánchez C.,Andrew J. Dolgert,Tomás M. León,John M. Marshall"
57,MGDrivE,10.1371/journal.pgen.1009385,"This approach is similar to that of MGDrivE [86], however our model is strictly deterministic, not species-specific, considers space differently (we assume large, 1–3 panmictic populations compared to MGDrivE’s more spatially explicit dynamics), we track haplotypes rather than just genotypes, and can adjust recombination distance between loci","MGDrivE2,GDrive,MGDrivE,MGDrive",,"Georg Oberhofer,Tobin Ivy,Bruce A. Hay"
58,MGDrivE,10.3390/insects11010052,"Various gene drive model platforms exist, including SkeeterBuster, SLiM 2/3, and MGDrivE, although they vary in flexibility [85,86,87,88].","MGDrivE2,GDrive,MGDrivE,MGDrive",,"Adeline E. Williams,Alexander W. E. Franz,William Reid,Ken E. Olson"
59,MGDrivE,10.7554/eLife.65939,"To determine the number of releases required to introgress effector genes into 95% of the female portion of a population, and ascertain how long that introgression could be effective (up to 4 years; Figure 4), we performed simulations using the full version of MGDrivE (Sanchez et al., 2019), implementing overlapping generations and density-dependent growth effects on aquatic stages","MGDrivE2,GDrive,MGDrivE,MGDrive",,"Nikolay P. Kandul,Junru Liu,Jared B. Bennett,John M. Marshall,Omar S. Akbari"
60,MultiPhen,10.1038/srep34323,"We used extensive simulation studies as well as real data application to compare the performance of AFC with TATES, Tippett, FC, MANOVA, MultiPhen, and SUMSCORE","R package MultiPhen (MultiPhen),MultiPhen-GATES,MultiPhen,MultiPhen9,MultiPhen R package,Multiphyl,Multiphen,R package MultiPhen,Multi,MultiPhen59,MultiPhyl,MultiP,Multiphor",,"Xiaoyu Liang,Zhenchuan Wang,Qiuying Sha,Shuanglin Zhang"
