name;candidate_urls;doi;paragraph
dendextend;https://github.com/talgalili/dendextend;10.3389/fpls.2020.588739;Hierarchical clustering of samples was calculated by Euclidean distances and the Ward.D2 clustering method in functions get_dist and hclust, built-in “dendextend,” and “factoextra” packages (Galili, 2015)
SignalP;https://github.com/ab39826/SignalP;10.1042/BSR20140120;N-terminal amino acids of GLP-1R were monitored with the program ‘SignalP 3.0’
SignalP;https://github.com/ab39826/SignalP;10.1186/1471-2229-11-128;Signal sequences were confirmed with the SignalP 3.0 Server (http://www.cbs.dtu.dk/services/SignalP) [81,82] and iPSORT prediction (http://ipsort.hgc.jp/) [83].
SignalP;https://github.com/ab39826/SignalP;10.1371/journal.pone.0001560;Many of these proteins may actually contain an export signal which is not recognized by SignalP
Rosetta;https://github.com/LatticeX-Foundation/Rosetta;10.1016/j.immuni.2018.10.015;The JR-FL structure was then glycosylated with Man5 using Rosetta according to glycan positions determined using the LANL N-GlycoSite web server
Rosetta;https://github.com/LatticeX-Foundation/Rosetta;10.1101/2020.07.31.231746;To computationally redesign ACE2(614) for increased binding affinity with the RBD, we first determined which amino acid sidechains are most crucial to the ACE2-RBD interaction (“hotspots”) by performing a computational alanine scan on the binding interface using an established method in Rosetta (24, 25)
Rosetta;https://github.com/LatticeX-Foundation/Rosetta;10.1371/journal.pone.0214126;The following version of Rosetta was used to perform the work: 17be250fab3b65d60d806025d7219a5373754924.
Fusion;https://github.com/FusionIIIT/Fusion;10.1155/2018/2023604;Fusion (Mediso Ltd., Hungary) and VivoQuant (inviCRO LLC, US) image analysis software were used to further analyze the reconstructed, reoriented, and coregistered images by drawing appropriate volumes of interests (VOIs) over the specified target organs
Fusion;https://github.com/FusionIIIT/Fusion;10.1371/journal.pone.0225740;HLA alleles or allele groups were determined in the sample by matching the pattern of positive and negative bead IDs with the information in the LABType SSO worksheet or using HLA Fusion 4.1 HotFix 2 (both from One Lambda).
Fusion;https://github.com/FusionIIIT/Fusion;10.1186/s13021-017-0085-x;"Individual tree metrics were derived from a LiDAR-based tree crown model (winter 2007/2008; regular grid of 4 height points/m2), a local maxima filter algorithm that is integrated into Fusion software [86] and laser scanning calculations for DBH estimates from Zhao et al"
Comparison;https://github.com/JudasDie/Comparison;10.1093/gbe/evu215;Phylogenetic relationships between sequences were first inferred rapidly using the Neighborhood Joining method with MUSCLE (MUltiple Sequence Comparison by Log-Expectation) for MSA (Edgar 2004)
Comparison;https://github.com/JudasDie/Comparison;10.3389/fbioe.2020.00332;The resulting sequences were aligned using Multiple Sequence Comparison by Log-Expectation (MUSCLE)
Comparison;https://github.com/JudasDie/Comparison;10.3390/vision2040039;We used the Bayesian Model Comparison (BMC) technique [66,67] for selecting the best performing statistical model
iTOL;https://github.com/iBiology/iTOL;10.1186/s12862-017-1020-1;4, which was produced with iTOL [58] version 3.5.3.
iTOL;https://github.com/iBiology/iTOL;10.7717/peerj.8544;The phylogeny was created with Roary and FastTree 2 during the pipeline runs and iTOL (Letunic & Bork, 2019) was used to visualize the tree
iTOL;https://github.com/iBiology/iTOL;10.1186/s13059-016-0889-0;The tree image was created using iTOL [68]
MSA;https://github.com/StanfordGeospatialCenter/MSA;10.1186/s12955-016-0500-0;MSA requires a complete data-set
MSA;https://github.com/StanfordGeospatialCenter/MSA;10.1371/journal.pone.0045520;A and He were estimated using the MSA software which corrects for sample size [98], while PIC was calculated using the equation:where n is the number of allele and p is the frequency of the i th allele [97].
MSA;https://github.com/StanfordGeospatialCenter/MSA;10.1371/journal.pntd.0002490;Genetic differentiation and gene flow was assessed by F-statistics [28]–[30] with the corresponding P-values (confidence test) using the MSA software [31]
FAMD;https://github.com/famduni/FAMD;10.1371/journal.pone.0234489;FAMD plots variables in a multi-dimensional space based on how they interact, with coordinate values ranging from -1 to 1 in each dimension
FAMD;https://github.com/famduni/FAMD;10.1371/journal.pone.0196468;Data were analyzed by software FAMD, v
FAMD;https://github.com/famduni/FAMD;10.1186/s12870-014-0394-0;Genetic distances were calculated using the FAMD 1.3 software package (http://www.famd.me.uk/famd.html)
Simplify3d;https://github.com/PrusaMK2Users/Simplify3d;10.3390/polym13172986;Models for the creation of honeycomb and gyroid architecture were created by using a program generated infill Simplify3d and Ultimaker Cura
Simplify3d;https://github.com/PrusaMK2Users/Simplify3d;10.1186/s41205-021-00113-9;Prototypes were done using Simplify3d and Fusion360 as the chosen slicing and computer-aided design (CAD) software, respectively
Simplify3d;https://github.com/PrusaMK2Users/Simplify3d;10.3390/ma13020352;The CAD models were designed on SOLIDWORKS 2016 (Dassault Systems, Waltham, MA, USA) and the machine language was generated using Simplify3D (Simplify3d, Cincinnati, OH, USA)
ESEfinder;https://github.com/MahyarHosseini/ESEfinder;10.1371/journal.pone.0059066;ESEfinder v3.0 (http://rulai.cshl.edu/cgi-bin/tools/ESE3/esefinder.cgi?process=home) was used to investigate whether the nucleotide changes disrupted/created exonic splicing enhancers (ESEs) and/or branch or splice sites[45]
ESEfinder;https://github.com/MahyarHosseini/ESEfinder;10.1186/1471-2350-8-4;Using ESEfinder analysis we were able to predict that the consequence of the N335N change is the introduction of a novel ESE motif for the SRp40 protein
ESEfinder;https://github.com/MahyarHosseini/ESEfinder;10.1038/s41598-017-04486-y;The web-based tools SIFT, PolyPhen, PON-P2 and ESEfinder were used to make a preliminary functional evaluation of the variants detected in the 30 sporadic IPF patients and in the 30 healthy controls
MapChart;https://github.com/ccpowell/MapChart;10.1038/s41438-020-0250-3;Graphical representations of chromosomes containing QTLs with significant effects and LOD score peaks were drawn using MapChart software, version 2.3.
MapChart;https://github.com/ccpowell/MapChart;10.1038/s41598-017-15726-6;The linkage maps and QTLs were drawn using MapChart 2.30 software
MapChart;https://github.com/ccpowell/MapChart;10.3389/fpls.2016.01755;Then, MapChart 2.0 was used to draw graphic representations of their corresponding physical position on pseudo-molecular chromosomes of Brassica crops.
iScan;https://github.com/aaryankotharii/iScan;10.4269/ajtmh.17-0943;The iScan OCT machine used in this study is designed for adult use, and therefore, the position of the pupil target and headrest led to difficulty in scan acquisition and some reduction of scan quality
iScan;https://github.com/aaryankotharii/iScan;10.1007/s00401-019-02088-8;The iScan control software was used to generate raw data files from the BeadChip in IDAT format and analyzed using GenomeStudio version 2.0 (Illumina, San Diego, CA, USA)
iScan;https://github.com/aaryankotharii/iScan;10.1002/gcc.22837;The BeadChip images were scanned on the iScan system and the data quality was assessed using the R script MethylAid
BLOSUM;https://github.com/graceng-yl/BLOSUM;10.1371/journal.pone.0161909;The output was generated as a 3D model using nearest homolog as a template with higher sequence identity using BLOSUM 45, 62, 80 at different Pfam value [28]
BLOSUM;https://github.com/graceng-yl/BLOSUM;10.1186/1471-2105-10-296;The peptide flanking regions (PFR) were presented as the average BLOSUM substitution frequency vector over a maximum length of three amino acids
BLOSUM;https://github.com/graceng-yl/BLOSUM;10.1186/s12938-016-0184-z;The score of a column is defined as:where the score , for , comes from a substitution matrix used for scoring pairwise sequence alignments (such as PAM and BLOSUM)
Plot;https://github.com/JohnSundell/Plot;10.1371/journal.pntd.0007061;Plot was produced using the OpenStreetMap package in R.
Plot;https://github.com/JohnSundell/Plot;10.3389/fbioe.2020.526814;This dot plot was named Resultant Plot With Filter, and it excludes uncolored events and events outside the range selected (Figures 7A–C)
Plot;https://github.com/JohnSundell/Plot;10.1038/s41598-018-32308-2;(C1 and C2) Modified Stern-Volmer Plot (log ((F−F)/F) = log Ka + n log [Q]) for calculating the binding constant (Ka), and number of binding sites (n)
Deepview;https://github.com/DeepakumarSubbian/Deepview;10.1038/s41598-018-37815-w;"Homology modeling of a putative asymmetric homotetrameric SHMT protein structure was conducted with Deepview and Swiss Model Workspace software using the SHMT protein sequence from Forrest and the available SHMT crystal structure from Homo sapiens as a template; PDB accession 1BJ4 chain A"
Deepview;https://github.com/DeepakumarSubbian/Deepview;10.1007/s00249-017-1246-2;The ‘Compute H-bonds’ function of Deepview software (Guex et al
Deepview;https://github.com/DeepakumarSubbian/Deepview;10.3390/plants9010027;Manipulation of 3D-structures was realized using Deepview (Swiss Pdb-viewer) (https://spdbv.vital-it.ch/) and included the compute H-bond formation and mutation tools.
GenStat;https://github.com/richardtjornhammar/GenStat;10.1186/1471-2229-14-68;ANOVA was used in all measurements to compare the treatments and the normality of residuals was tested using GenStat software (14th edition)
GenStat;https://github.com/richardtjornhammar/GenStat;10.1016/j.agsy.2016.10.010;Accordingly, this methodology was applied to fit statistical models for the traits to identify significant QTL, E, and QTL × E factors for the selected processes in this study using GenStat 15th edition (Payne et al., 2009)
GenStat;https://github.com/richardtjornhammar/GenStat;10.1371/journal.pone.0231157;353 SNPs, which had been scored and were polymorphic in both the AxC and YR panel were used for QTL mapping of seedling test using QTL library in GenStat 17th edition (VSN International, Hemel Hempstead, UK)
origin;https://github.com/openshift/origin;10.1038/s41598-021-89081-y;Graphs were created by origin 8.0 (Graph Software, USA)
origin;https://github.com/openshift/origin;10.1038/s41598-021-82365-3;The DTG signal was smoothed (origin 8 software, FFT filter set at 5 points).
origin;https://github.com/openshift/origin;10.1002/2211-5463.12422;Data were fitted using an A 1 of 0 (initial fractional content of ZF0S–S) and an A 2 of 1 (final fractional content of ZF0S–S) by using origin 8.0.
windows;https://github.com/boxcutter/windows;10.3389/fmicb.2013.00291;On windows, several third-party tools exist for opening these types of archives, a common program being 7zip.
windows;https://github.com/boxcutter/windows;10.1186/1471-2105-7-509;CoXpress is written in the native R language and has been fully tested on both windows and linux
windows;https://github.com/boxcutter/windows;10.3390/s19183844;The operating system is windows 10 (6 4 bits) and programming language is python 3.5.2
BCF;https://github.com/CGCL-codes/BCF;10.1371/journal.pone.0256451;SAM and BAM files were sorted using Samtools and variants were called using BCF tool-mpileup v-1.10.2
BCF;https://github.com/CGCL-codes/BCF;10.1371/journal.pone.0151522;rapa Chiifu line [8] was utilized as a reference to assemble the re-sequenced RcBr reads using bowtie software and possible SNPs were called by SAM and BCF tools (unpublished)
BCF;https://github.com/CGCL-codes/BCF;10.12688/f1000research.28449.1;The atomic data element is the Track, a genomic data file, generally in a binarized and indexed file format, such as BigBed , BigWig or BCF , optimised for display in a genome browser
SPSS;https://github.com/laribio/SPSS;10.1371/journal.pone.0203370;SPSS for windows (version 20, IBM, New York, USA) was used for Student’s t-test
SPSS;https://github.com/laribio/SPSS;10.3390/brainsci11080998;Finally, a mediation analysis was run using the PROCESS V3 package in SPSS to test if left ATL atrophy mediated the relationship between right ATL degeneration and anhedonia severity
SPSS;https://github.com/laribio/SPSS;10.1186/s12970-015-0101-z;Per protocol analyses were performed using SPSS for Windows software, version 19.0
Sequence;https://github.com/IanLunn/Sequence;10.1038/s41598-021-84111-1;The concatenated alignments were generated in Sequence matrix v1.8
Sequence;https://github.com/IanLunn/Sequence;10.1186/s12936-020-03301-w;Base calling of nucleotide and chromatogram visualization was achieved using the sequence analysis software accompanying the DNA analyser (Sequence analyser™), while sequence alignment was carried out with BioEdit sequence alignment editor v.7.0.5.3
Sequence;https://github.com/IanLunn/Sequence;10.1371/journal.pone.0101212;We genotyped all ESBL-G isolates by using both Amplification Fragment Length Polymorphism (AFLP) and High-throughput Multilocus Sequence Typing (HiMLST)
DCMP;https://github.com/Mr-Linus/DCMP;10.1007/s43673-021-00008-1;Kim also hoped JSAP to join DCMP, as JSAP and JPS are two independent member societies of AAPPS
DCMP;https://github.com/Mr-Linus/DCMP;10.1038/s41598-020-60758-0;All 199,244 probes tested in DCMP analyses were combined into regions using the “comb-p” tool
DCMP;https://github.com/Mr-Linus/DCMP;10.1007/s43673-021-00008-1;Xiang stated that six core members participating to DCMP are from CPS
LOESS;https://github.com/TheActuarialDataScientist/LOESS;10.1186/1756-0500-4-160;Solid lines in the MA plot represent the LOESS smoothing curves of the differentially expressed genes (red and green) and non-regulated genes (blue).
LOESS;https://github.com/TheActuarialDataScientist/LOESS;10.1186/s12879-019-4262-2;To calculate the annual rate of change of reported PTB incidence rates at the county level, we fitted linear regressions to the trend component extracted from the monthly incidence rate time series by the seasonal-trend decomposition procedure based on LOESS (STL) [27]
LOESS;https://github.com/TheActuarialDataScientist/LOESS;10.3389/fgene.2015.00092;LOESS achieved the highest correlation for all 21 pairs of technical replicates for (P1, m),(P2, m) and had a clear lead for (P1, β),(P2, β)
DBVS;https://github.com/tamopovi/DBVS;10.3390/molecules25071649;Though it has some critical limitations, DBVS has demonstrated to be a useful strategy to suggest the action mechanism or for proposing new biological activities of known products or extracts [17,18,19,20,21,22,23,24,25]
DBVS;https://github.com/tamopovi/DBVS;10.1208/s12248-012-9322-0;to improve the performance of DBVS (60)
DBVS;https://github.com/tamopovi/DBVS;10.3390/molecules25102365;Thus DBVS can identify the most promising lead compounds for biological assays and decrease the costs associated with drug development [22,25].
FAST;https://github.com/smistad/FAST;10.1038/s41598-020-69514-w;T1-weighted images were brain-extracted (BET) and segmented into GM, WM and cerebrospinal fluid (CSF) using the FMRIB’s Automated Segmentation Tool FAST
FAST;https://github.com/smistad/FAST;10.1186/s12883-018-1044-1;Baseline step activity data for subjects in the FAST+SAM and SAM groups is used to categorize and assign step activity goals
FAST;https://github.com/smistad/FAST;10.1155/2015/450341;Bayesian classifiers are used in the expectation-maximization (EM) segmentation methods which have been successfully implemented in several software packages used in the medical imaging community: SPM [2], FAST [3], FreeSurfer [21], and 3DSlicer [71]
pROC;https://github.com/xrobin/pROC;10.1371/journal.pone.0052021;Confidence intervals of the AUC were calculated by with library pROC [22].
pROC;https://github.com/xrobin/pROC;10.3389/fgene.2021.656114;R packages were used as follows: “pROC,” “TimeROC,” “survival,” “clusterProfiler’,” and “randomForestSRC.” The P values of the above analyses were all <0.05 as statistically significant.
pROC;https://github.com/xrobin/pROC;10.1111/cns.13382;Several R packages including ggplot2, survival, pheatmap, pROC, circlize, and corrgram were used for pictures drawing and statistical analysis in R software 3.4.3
Phoenix;https://github.com/Yalantis/Phoenix;10.1002/psp4.12674;Observed PK parameters were reported previously by Jobe et al., 2020 or estimated from the digitized mean concentration‐time profiles using noncompartmental analysis using Phoenix 8.1 (linear trapezoid method was employed)
Phoenix;https://github.com/Yalantis/Phoenix;10.1038/s41598-018-21125-2;The pharmacokinetic (PK) parameters were calculated from the concentration-time data using the non-compartmental analysis tool of Phoenix software (version 6.3, Certara, USA)
Phoenix;https://github.com/Yalantis/Phoenix;10.1186/s40425-018-0422-y;Noncompartmental PK analysis and PK/PD modeling were conducted with Phoenix and NONMEM programs
PharmPow;https://github.com/cran/PharmPow;10.1208/s12248-014-9641-4;An R-package was developed (PharmPow, available on the Comprehensive R Archive Network (CRAN), http://cran.r-project.org/web/packages/PharmPow/PharmPow.pdf) and used for these calculations
SAINT;https://github.com/SAINTProtein/SAINT;10.1107/S1600536811018654;"Data collection: APEX2 (Bruker, 2009 ▶); cell refinement: SAINT (Bruker, 2009 ▶); data reduction: SAINT; program(s) used to solve structure: SHELXS97 (Sheldrick, 2008 ▶); program(s) used to refine structure: SHELXL97 (Sheldrick, 2008 ▶); molecular graphics: ORTEP-3 (Farrugia, 1997 ▶) and DIAMOND (Brandenburg, 1998 ▶); software used to prepare material for publication: SHELXL97."
SAINT;https://github.com/SAINTProtein/SAINT;10.1107/S1600536809024301;"Data collection: SMART (Bruker, 2000 ▶); cell refinement: SAINT (Bruker, 2000 ▶); data reduction: SAINT; program(s) used to solve structure: SHELXS97 (Sheldrick, 2008 ▶); program(s) used to refine structure: SHELXL97 (Sheldrick, 2008 ▶); molecular graphics: ORTEP-3 for Windows (Farrugia, 1997 ▶); software used to prepare material for publication: WinGX (Farrugia, 1999 ▶)."
SAINT;https://github.com/SAINTProtein/SAINT;10.1107/S1600536811026663;"Data collection: SMART (Bruker, 2007 ▶); cell refinement: SAINT (Bruker, 2007 ▶); data reduction: SAINT; program(s) used to solve structure: SHELXS97 (Sheldrick, 2008 ▶); program(s) used to refine structure: SHELXL97 (Sheldrick, 2008 ▶); molecular graphics: SHELXTL (Sheldrick, 2008 ▶); software used to prepare material for publication: SHELXTL."
Repetier-Host;https://github.com/InlineTwin/Repetier-Host;10.3390/ph13110337;"The ram speed and the chamber temperature were controlled by Repetier-Host 2.0.1 software (Hotword GmbH, Germany); the matrix dimension (5 cm × 2.5 cm × 50 μm), and the number per each print were designed by using 3D builder v18 (Microsoft Inc, USA)"
Repetier-Host;https://github.com/InlineTwin/Repetier-Host;10.3390/ma13092023;The host computer uses the Repetier-Host software to load the G-code obtained from the Python-unsupported slicing module into the software, and it uses output G-code to communicate with the motion control module of our embed system
Repetier-Host;https://github.com/InlineTwin/Repetier-Host;10.3390/s18041298;The laptop offers G-codes for the delta 3D printer through Repetier-Host (a slicing software) and collects the output data from the attitude sensor via an upper monitor, where the calibration of the attitude sensor, the observation of real-time data and the adjustment of the sampling frequency can be implemented
SWOT;https://github.com/AguaClara/SWOT;10.3390/s21186134;SWOT analysis of the digitalization level of ports or terminals.
SWOT;https://github.com/AguaClara/SWOT;10.1136/injuryprev-2020-043677;Similar work is being carried out by the US CPSC.38 In Europe, the use of information from the death certificates for research or death investigations is still heavily regulated by national laws on data privacy, therefore the use of this potential data source is not feasible in the short term.39 A SWOT analyses of this potential data source is given in table 4.
SWOT;https://github.com/AguaClara/SWOT;10.1186/s40814-020-00664-4;In the biofortification literature, stakeholder perceptions, consumer acceptance and willingness to pay have been assessed using a range of interdisciplinary methods, such as SWOT (strengths, weaknesses, opportunities and threats) analysis, sensory evaluation, experimental auctions and revealed choice experiments [13–15]
neuralnet;https://github.com/cran/neuralnet;10.3390/cancers13184559;The analyses were conducted using R 4.1.0 and R packages randomForestSRC [20], glmnet [21], xgboost [18], neuralnet [19]
neuralnet;https://github.com/cran/neuralnet;10.3389/fpsyg.2020.01869;We used the traditional backpropagation algorithm with the logistic activation function provided in R by the neuralnet package (Günther and Fritsch, 2012), and the sum of squared errors as the differentiable error function to minimize.
neuralnet;https://github.com/cran/neuralnet;10.3389/fonc.2020.538133;The following packages were used: “survival” (Terry M Therneau), “plyr” (Hadley Wickham), “rms” (Frank E Harrell), “survminer” (Alboukadel Kassambara), “neuralnet” (Stefan Fritsch), “pROC” (Xavier Robin), “DynNom” (Amirhossein Jalali), “pHeatmap” (Raivo Kolde), and “stargazer” (Hlavac, 2018) (Marek Hlavac)
Vitrea;https://github.com/gilesgc/Vitrea;10.1161/CIRCULATIONAHA.121.053708;Image analysis was performed using Vitrea v6.9.68.1 (Vitrea Advanced, Vital Images, Minnetonka, MN) and FusionQuant v1.20.05.14 (Cedars-Sinai, CA)
Vitrea;https://github.com/gilesgc/Vitrea;10.1136/heartjnl-2019-314892;Using automated software (Vitrea, Vital Images, Minnetonka, USA), left ventricular myocardial contours were detected during mid-diastole (75% phase or nearest acquired) in two planes and 0.7 mm slices and manually adjusted to ensure accurate borders, allowing calculation of left ventricular volume and myocardial volume (from which myocardial mass is derived)
Vitrea;https://github.com/gilesgc/Vitrea;10.1038/s41598-017-01679-3;The DICOM data (digital imaging and communication in medicine) obtained from the PACS (picture archiving and communicating system) were transferred to a workstation equipped with validated commercial software (Vitrea, Vital Images, Inc., MN, USA) for generating multiplanar formation, curved planar reformation, and 3-dimensional volume rendering images along with the axial images for assessing the LCBA between the LAD and LCX (Figs 1 and 2)
PAT;https://github.com/liuchuo/PAT;10.1002/cre2.312;Vascular analysis by RH‐PAT has advantages of easy usage and noninvasive features (Wilk et al., 2013)
PAT;https://github.com/liuchuo/PAT;10.1371/journal.pone.0116916;"To date, most information on the horizontal movements of tiger sharks is available from SPOT and PAT satellite tracking studies conducted at relatively small temporal scales (<1 year; e.g"
PAT;https://github.com/liuchuo/PAT;10.3390/ijerph17134885;Prior studies have described PAT Survey methods in detail [38,39,40]
REVO;https://github.com/fabianschenk/REVO;10.1208/s12249-019-1532-7;LyoPRONTO is used to determine the heat transfer characteristics of the 6R vials in REVO which are presented in the following section
REVO;https://github.com/fabianschenk/REVO;10.3389/fmolb.2020.00106;There are a few key differences between the REVO simulations discussed here and our previous studies (Dixon et al., 2018)
REVO;https://github.com/fabianschenk/REVO;10.1063/1.5100521;Based on these results, we choose to use α = 4 for our REVO simulations of the trypsin-benzamidine system.
SPH;https://github.com/AdamSimpson/SPH;10.1038/s41598-021-82807-y;However, the identification and tracking of liquid/solid interface is not trivial in SPH and requires a coupling of additional methods.
SPH;https://github.com/AdamSimpson/SPH;10.3390/ma10040379;Although formulations and algorithms have been successfully implemented in SPH which help to overcome some of these limitations [23], the source of the problems still remains.
SPH;https://github.com/AdamSimpson/SPH;10.3390/e23010118;At the same time, in SPH the effect of particles is taken into account only at a small distance, which has an order of doubled smoothing length
Gastro;https://github.com/mhdavis/Gastro;10.1371/journal.pcbi.1006173;Composition of the IN_Gastro component and comparison with the incidence of acute diarrhoea detected by the national surveillance data (GP_Gastro) for France
Gastro;https://github.com/mhdavis/Gastro;10.1208/s12249-014-0172-1;Mylan ER results from Gastro plus: In vivo dissolution (red solid line), fraction absorbed Fa (blue line) and total systemic concentration (green line)
Gastro;https://github.com/mhdavis/Gastro;10.3389/fpubh.2019.00317;The WGS data are currently only available via a restricted access web-based system, the Gastro Data Warehouse (GDW), a secure, encrypted, rationalized database containing results on all isolates processed by GBRU (Figure 1)
HighScore;https://github.com/faizanaziz/HighScore;10.3390/ma13102214;Measurements were analyzed with the software HighScore 4.7
HighScore;https://github.com/faizanaziz/HighScore;10.3390/ma14030561;"Qualitative phase analysis was performed by means of the HighScore program; subsequent semi-quantitative phase analysis and calculation of unit-cell and microstructural parameters was carried out by the Rietveld method using the Topas 5 program (Bruker AXS, Karlsruhe, Germany)."
HighScore;https://github.com/faizanaziz/HighScore;10.3390/ma12050695;The phase composition of the layers was determined by the standard method using an X-ray diffractometer from PANalytical, model X’Pert Pro MPD PW3040/60, using Cu Kα1 radiation and the HighScore computer program
Compass;https://github.com/MiCode/Compass;10.1186/s40364-020-00226-z;"Procedures were performed following manufacturer’s instructions; in brief, each capillary was loaded with protein lysate and electrophoresis was performed; capillaries were processed to attach all proteins to the capillary wall and incubated with a single antibody; results were measured as emission curves from each capillary using the Compass software (ProteinSimple), including quantification"
Compass;https://github.com/MiCode/Compass;10.1038/s41598-018-31582-4;Using Compass software (ProteinSimple), the peak areas of Akt, pAkt, HSL and pHSL proteins were estimated and normalized against vinculin
