name,paragraph,doi,synonyms,language,authors,urls,not_urls
BeautifulSoup,"In this paper, the Python programming language, with packages made by BeautifulSoup and Selenium, was used to write an algorithm and purposely collect desired variables for apartment listings in the capital city of Vilnius with sell and rent operations",10.1186/s40537-021-00476-0,"BeautifulSoup9,beautifulsoup4,BeautifulSoup Python Package,BeautifulSoup Python library,Beautiful,Beautiful Soup,beautiful-soup,BeautifulSoup4,Beautiful soup,BeautifulSoup 4 (PyPi),BeatifulSoup,Beautiful Soup”",Python,"Andrius Grybauskas,Vaida Pilinkienė,Alina Stundžienė","https://github.com/wention/BeautifulSoup4, https://pypi.org/project/BeautifulSoup/, https://pypi.org/project/beautifulsoup4/, https://github.com/collegue1337/BeautifulSoup4","https://github.com/DeronW/beautifulsoup, https://github.com/icodeu/BeautifulSoup, https://github.com/beautifulSoup/RtmpRecoder"
BeautifulSoup,"Wikipedia is accessed through the MediaWiki API using Python, and the BeautifulSoup, json, and requests packages",10.1038/s41597-020-00682-0,"BeautifulSoup9,beautifulsoup4,BeautifulSoup Python Package,BeautifulSoup Python library,Beautiful,Beautiful Soup,beautiful-soup,BeautifulSoup4,Beautiful soup,BeautifulSoup 4 (PyPi),BeatifulSoup,Beautiful Soup”",Python,"Angel Hsu,Zhi Yi Yeo,Ross Rauber,James Sun,Yunsoo Kim,Sowmya Raghavan,Nicholas Chin,Vasu Namdeo,Amy Weinfurter","https://github.com/wention/BeautifulSoup4, https://github.com/DeronW/beautifulsoup, https://pypi.org/project/BeautifulSoup/, https://pypi.org/project/beautifulsoup4/","https://github.com/icodeu/BeautifulSoup, https://github.com/beautifulSoup/RtmpRecoder, https://github.com/collegue1337/BeautifulSoup4"
BioMark,Data from the gene expression analysis were processed using the Fluidigm-integrated software (Fluidigm Real-Time PCR analysis; BioMark Version 4.1.2),10.1186/s12862-017-1109-6,"Biomarts,BiomarkTM,BIOMARKER,BioMA,BIOMARK HD,BioMarker,Biomark Chip,BioMar,BioMark R Bioconductor package,ImBioMark,BiomarC,BIOMARKAPD,Biomart,Biomark & EP1,BioMark HD,BioMart,BIOMA,R package BioMark,BIOMARKERY,BIOMASAR,BIOMARIN,Biomarkers,BioMarks,Biomarker2vec,BiomarC®,BioMART,BiomarkHD,Biomartr,BioMarcs,BIOMART,BiomarkR,BioMarKs,BIOMARCS,Biomarks,Biomark qPCR,BioMarts,BIOMAR,BiomarkeR,BioMarkTM,Biomark HD,Biomarker,R BioMark package",,"Isabel Salome Keller,Walter Salzburger,Olivia Roth","https://cran.r-project.org/web/packages/BioMark/index.html, https://github.com/cran/BioMark","https://github.com/cran/RMark, https://github.com/cran/optBiomarker, https://cran.r-project.org/package=RMark, https://cran.r-project.org/package=optBiomarker, https://github.com/NoTranslationLayer/biomarkerdash, https://github.com/cran/ICBioMark, https://github.com/cran/NNTbiomarker, https://github.com/markwk/awesome-biomarkers, https://github.com/spiros/ukb-biomarker-phenotypes, https://github.com/ELELAB/CAncer-bioMarker-Prediction-Pipeline-CAMPP, https://cran.r-project.org/package=ICBioMark, https://cran.r-project.org/package=NNTbiomarker"
BioMark,Data was analyzed using the BioMark digital array software and the numbers of positive chambers were corrected to estimate the true number of copies [32],10.1371/journal.pone.0001662,"Biomarts,BiomarkTM,BIOMARKER,BioMA,BIOMARK HD,BioMarker,Biomark Chip,BioMar,BioMark R Bioconductor package,ImBioMark,BiomarC,BIOMARKAPD,Biomart,Biomark & EP1,BioMark HD,BioMart,BIOMA,R package BioMark,BIOMARKERY,BIOMASAR,BIOMARIN,Biomarkers,BioMarks,Biomarker2vec,BiomarC®,BioMART,BiomarkHD,Biomartr,BioMarcs,BIOMART,BiomarkR,BioMarKs,BIOMARCS,Biomarks,Biomark qPCR,BioMarts,BIOMAR,BiomarkeR,BioMarkTM,Biomark HD,Biomarker,R BioMark package",,"Sandra L. Spurgeon,Robert C. Jones,Ramesh Ramakrishnan",https://github.com/cran/BioMark,"https://github.com/cran/RMark, https://github.com/cran/optBiomarker, https://cran.r-project.org/web/packages/BioMark/index.html, https://cran.r-project.org/package=RMark, https://cran.r-project.org/package=optBiomarker, https://github.com/NoTranslationLayer/biomarkerdash, https://github.com/cran/ICBioMark, https://github.com/cran/NNTbiomarker, https://github.com/markwk/awesome-biomarkers, https://github.com/spiros/ukb-biomarker-phenotypes, https://github.com/ELELAB/CAncer-bioMarker-Prediction-Pipeline-CAMPP, https://cran.r-project.org/package=ICBioMark, https://cran.r-project.org/package=NNTbiomarker"
BioMark,"Genotype calling was carried out using the SDS 2.3 software (Life Technologies, Carlsbad California) or the BioMark 3.0.2 software (Fluidigm, South San Francisco, California)",10.1186/1471-2164-13-521,"Biomarts,BiomarkTM,BIOMARKER,BioMA,BIOMARK HD,BioMarker,Biomark Chip,BioMar,BioMark R Bioconductor package,ImBioMark,BiomarC,BIOMARKAPD,Biomart,Biomark & EP1,BioMark HD,BioMart,BIOMA,R package BioMark,BIOMARKERY,BIOMASAR,BIOMARIN,Biomarkers,BioMarks,Biomarker2vec,BiomarC®,BioMART,BiomarkHD,Biomartr,BioMarcs,BIOMART,BiomarkR,BioMarKs,BIOMARCS,Biomarks,Biomark qPCR,BioMarts,BIOMAR,BiomarkeR,BioMarkTM,Biomark HD,Biomarker,R BioMark package",,"Meredith V. Everett,Michael R. Miller,James E. Seeb",https://github.com/cran/BioMark,"https://github.com/cran/RMark, https://github.com/cran/optBiomarker, https://cran.r-project.org/web/packages/BioMark/index.html, https://cran.r-project.org/package=RMark, https://cran.r-project.org/package=optBiomarker, https://github.com/NoTranslationLayer/biomarkerdash, https://github.com/cran/ICBioMark, https://github.com/cran/NNTbiomarker, https://github.com/markwk/awesome-biomarkers, https://github.com/spiros/ukb-biomarker-phenotypes, https://github.com/ELELAB/CAncer-bioMarker-Prediction-Pipeline-CAMPP, https://cran.r-project.org/package=ICBioMark, https://cran.r-project.org/package=NNTbiomarker"
BioMark,"Genotypes were called using the BioMark software v3.0.2 (Fluidigm, South San Francisco, CA)",10.1534/g3.115.020222,"Biomarts,BiomarkTM,BIOMARKER,BioMA,BIOMARK HD,BioMarker,Biomark Chip,BioMar,BioMark R Bioconductor package,ImBioMark,BiomarC,BIOMARKAPD,Biomart,Biomark & EP1,BioMark HD,BioMart,BIOMA,R package BioMark,BIOMARKERY,BIOMASAR,BIOMARIN,Biomarkers,BioMarks,Biomarker2vec,BiomarC®,BioMART,BiomarkHD,Biomartr,BioMarcs,BIOMART,BiomarkR,BioMarKs,BIOMARCS,Biomarks,Biomark qPCR,BioMarts,BIOMAR,BiomarkeR,BioMarkTM,Biomark HD,Biomarker,R BioMark package",,"Morten T. Limborg,Ryan K. Waples,Fred W. Allendorf,James E. Seeb",https://github.com/cran/BioMark,"https://github.com/cran/RMark, https://github.com/cran/optBiomarker, https://cran.r-project.org/web/packages/BioMark/index.html, https://cran.r-project.org/package=RMark, https://cran.r-project.org/package=optBiomarker, https://github.com/NoTranslationLayer/biomarkerdash, https://github.com/cran/ICBioMark, https://github.com/cran/NNTbiomarker, https://github.com/markwk/awesome-biomarkers, https://github.com/spiros/ukb-biomarker-phenotypes, https://github.com/ELELAB/CAncer-bioMarker-Prediction-Pipeline-CAMPP, https://cran.r-project.org/package=ICBioMark, https://cran.r-project.org/package=NNTbiomarker"
BioMark,"The BioMark software (Fluidigm, South San Francisco, CA, USA) can generate PCR amplification curves and analyze the threshold values of the 36,960 individual partitions (48 × 770)",10.3390/ijms17030402,"Biomarts,BiomarkTM,BIOMARKER,BioMA,BIOMARK HD,BioMarker,Biomark Chip,BioMar,BioMark R Bioconductor package,ImBioMark,BiomarC,BIOMARKAPD,Biomart,Biomark & EP1,BioMark HD,BioMart,BIOMA,R package BioMark,BIOMARKERY,BIOMASAR,BIOMARIN,Biomarkers,BioMarks,Biomarker2vec,BiomarC®,BioMART,BiomarkHD,Biomartr,BioMarcs,BIOMART,BiomarkR,BioMarKs,BIOMARCS,Biomarks,Biomark qPCR,BioMarts,BIOMAR,BiomarkeR,BioMarkTM,Biomark HD,Biomarker,R BioMark package",,"Pengyu Zhu,Chenguang Wang,Kunlun Huang,Yunbo Luo,Wentao Xu",https://github.com/cran/BioMark,"https://github.com/cran/RMark, https://github.com/cran/optBiomarker, https://cran.r-project.org/web/packages/BioMark/index.html, https://cran.r-project.org/package=RMark, https://cran.r-project.org/package=optBiomarker, https://github.com/NoTranslationLayer/biomarkerdash, https://github.com/cran/ICBioMark, https://github.com/cran/NNTbiomarker, https://github.com/markwk/awesome-biomarkers, https://github.com/spiros/ukb-biomarker-phenotypes, https://github.com/ELELAB/CAncer-bioMarker-Prediction-Pipeline-CAMPP, https://cran.r-project.org/package=ICBioMark, https://cran.r-project.org/package=NNTbiomarker"
Django,The EBRAINS NeuroFeatureExtract consists of a full stack web-based application implemented via the Python-based Django web framework and deployed on a dedicated Virtual Machine (VM) hosted on the CINECA supercomputing center and accessible/configurable through the OpenStack interface,10.3389/fninf.2021.713899,"Django-rest,django-open,Django Python,django,django-auth,DJANGOS,Django Python Web framework,Djangology,Django web,Django Web,Django CMS",Python,"Luca Bologna,Roberto Smiriglia,Dario Curreri,Michele Migliore","https://github.com/django/django, https://pypi.org/project/Django/","https://github.com/wsvincent/awesome-django, https://github.com/cherylisabella/vangogh, https://github.com/encode/django-rest-framework, https://github.com/cran/rang, https://github.com/cran/jage, https://github.com/cran/vangogh, https://cran.r-project.org/package=vangogh, https://github.com/sfirke/janitor, https://github.com/django-cms/django-cms, https://github.com/ropensci/randgeo, https://github.com/cookiecutter/cookiecutter-django, https://cran.r-project.org/package=jage, https://cran.r-project.org/package=janitor, https://cran.r-project.org/package=rang, https://github.com/gesistsa/rang, https://github.com/cran/randgeo, https://cran.r-project.org/package=randgeo, https://github.com/cran/janitor"
Django,The annotation tool was written using the Django web-framework (V.: 2.0.1) with a PostgreSQL (V.: 9.6.9) backend,10.1093/database/baz101,"Django-rest,django-open,Django Python,django,django-auth,DJANGOS,Django Python Web framework,Djangology,Django web,Django Web,Django CMS",,"Leo Norval,Stefan Krämer,Mingjie Gao,Tobias Herz,Jianyu Li,Christin Rath,Johannes Wöhrle,Stefan Günther,Günter Roth","https://github.com/django/django, https://pypi.org/project/Django/","https://github.com/wsvincent/awesome-django, https://github.com/cherylisabella/vangogh, https://github.com/encode/django-rest-framework, https://github.com/cran/rang, https://github.com/cran/jage, https://github.com/cran/vangogh, https://cran.r-project.org/package=vangogh, https://github.com/sfirke/janitor, https://github.com/django-cms/django-cms, https://github.com/ropensci/randgeo, https://github.com/cookiecutter/cookiecutter-django, https://cran.r-project.org/package=jage, https://cran.r-project.org/package=janitor, https://cran.r-project.org/package=rang, https://github.com/gesistsa/rang, https://github.com/cran/randgeo, https://cran.r-project.org/package=randgeo, https://github.com/cran/janitor"
Django,"The atmospheric environmental monitoring system software is created in the Django framework [21], which stores data using a MySQL database and communicates with the terminal collection device via Socket communication",10.3390/s18113891,"Django-rest,django-open,Django Python,django,django-auth,DJANGOS,Django Python Web framework,Djangology,Django web,Django Web,Django CMS",,"Yushuang Ma,Long Zhao,Rongjin Yang,Xiuhong Li,Qiao Song,Zhenwei Song,Yi Zhang",https://pypi.org/project/Django/,"https://github.com/wsvincent/awesome-django, https://github.com/cherylisabella/vangogh, https://github.com/encode/django-rest-framework, https://github.com/cran/rang, https://github.com/cran/jage, https://github.com/cran/vangogh, https://cran.r-project.org/package=vangogh, https://github.com/sfirke/janitor, https://github.com/django/django, https://github.com/django-cms/django-cms, https://github.com/ropensci/randgeo, https://github.com/cookiecutter/cookiecutter-django, https://cran.r-project.org/package=jage, https://cran.r-project.org/package=janitor, https://cran.r-project.org/package=rang, https://github.com/gesistsa/rang, https://github.com/cran/randgeo, https://cran.r-project.org/package=randgeo, https://github.com/cran/janitor"
ESEfinder,"An in silico structural analysis of exon 3b of the human DLG1 gene using ESEfinder, FAS-ESS, and RESQUE-ESS indicated the presence of an exonic splicing enhancer (ESE) consensus (TGAAAGAAT) in exon 3b (Figure 4)",10.1038/tp.2015.154,"ESE finder,ESEfinder3,ESEFinder2,ESE Finder,ESEfindera,esefinder,ESE-Finder,exonic splicing enhancer finder,ESEF finder,ESEfinder2,ESE-finder",,"Akihito Uezato,Naoki Yamamoto,Yoshimi Iwayama,Shûichi Hiraoka,Eri Hiraaki,Asami Umino,Emiko Haramo,M Umino,Takeo Yoshikawa,Toru Nishikawa",,"https://cran.r-project.org/package=wfindr, https://cran.r-project.org/package=indexr, https://github.com/cran/CIfinder, https://cran.r-project.org/package=affiner, https://github.com/cran/wfindr, https://github.com/idmn/wfindr, https://cran.r-project.org/package=CIfinder, https://github.com/cran/affiner, https://github.com/cran/TSEind, https://github.com/lharris421/indexr, https://github.com/cran/indexr, https://github.com/trevorld/affiner, https://cran.r-project.org/package=TSEind"
ESEfinder,ESEfinder 3.0 [21] was used to scan the genomic region containing SNPs found only among affected individuals in the screening panel for the identification of splice enhancer binding sites in the wildtype sequence,10.1186/1756-0500-1-86,"ESE finder,ESEfinder3,ESEFinder2,ESE Finder,ESEfindera,esefinder,ESE-Finder,exonic splicing enhancer finder,ESEF finder,ESEfinder2,ESE-finder",,"David Ng,Xiaohong R. Yang,Margaret A. Tucker,Alisa M. Goldstein",,"https://cran.r-project.org/package=wfindr, https://cran.r-project.org/package=indexr, https://github.com/cran/CIfinder, https://cran.r-project.org/package=affiner, https://github.com/cran/wfindr, https://github.com/idmn/wfindr, https://cran.r-project.org/package=CIfinder, https://github.com/cran/affiner, https://github.com/cran/TSEind, https://github.com/lharris421/indexr, https://github.com/cran/indexr, https://github.com/trevorld/affiner, https://cran.r-project.org/package=TSEind"
ESEfinder,ESEfinder 3.0 [34]was used to identify putative splicing factor binding motifs disrupted by rs11716445.,10.1371/journal.pgen.1003058,"ESE finder,ESEfinder3,ESEFinder2,ESE Finder,ESEfindera,esefinder,ESE-Finder,exonic splicing enhancer finder,ESEF finder,ESEfinder2,ESE-finder",,"Marisa W. Medina,Elizabeth Theusch,Devesh Naidoo,Frederick Bauzon,Kristen N. Stevens,Lara M. Mangravite,Yu‐Lin Kuang,Ronald M. Krauss",,"https://cran.r-project.org/package=wfindr, https://cran.r-project.org/package=indexr, https://github.com/cran/CIfinder, https://cran.r-project.org/package=affiner, https://github.com/cran/wfindr, https://github.com/idmn/wfindr, https://cran.r-project.org/package=CIfinder, https://github.com/cran/affiner, https://github.com/cran/TSEind, https://github.com/lharris421/indexr, https://github.com/cran/indexr, https://github.com/trevorld/affiner, https://cran.r-project.org/package=TSEind"
ESEfinder,ESEfinder uses a position specific weight matrix,10.1186/1471-2164-9-265,"ESE finder,ESEfinder3,ESEFinder2,ESE Finder,ESEfindera,esefinder,ESE-Finder,exonic splicing enhancer finder,ESEF finder,ESEfinder2,ESE-finder",,"Victoria Nembaware,Bukiwe Lupindo,Katherine Schouest,Charles Spillane,Konrad Scheffler,Cathal Seoighe",,"https://cran.r-project.org/package=wfindr, https://cran.r-project.org/package=indexr, https://github.com/cran/CIfinder, https://cran.r-project.org/package=affiner, https://github.com/cran/wfindr, https://github.com/idmn/wfindr, https://cran.r-project.org/package=CIfinder, https://github.com/cran/affiner, https://github.com/cran/TSEind, https://github.com/lharris421/indexr, https://github.com/cran/indexr, https://github.com/trevorld/affiner, https://cran.r-project.org/package=TSEind"
ESEfinder,"The c.1226 A>G mutation, with its flanking sequences, was predicted as a potential ESE motif using ESEfinder software, and the motif sequence carrying the mutant G allele presented a higher weighted majority vote (WMV) score than that carrying the A allele (3.19 versus 2.82), suggesting that the G allele potentially increased binding affinity for SRSF2 (a member of the family of pre-mRNA splicing factors) and contributed to a high incidence of alternative splicing (AS)",10.1242/dmm.036616,"ESE finder,ESEfinder3,ESEFinder2,ESE Finder,ESEfindera,esefinder,ESE-Finder,exonic splicing enhancer finder,ESEF finder,ESEfinder2,ESE-finder",C,"Chunwei Cao,Ying Zhang,Qitao Jia,Xiao Wang,Qiantao Zheng,Hongyong Zhang,Ruigao Song,Yongshun Li,Ailing Luo,Qianlong Hong,Guosong Qin,Jing Yao,Nan Zhang,Yanfang Wang,Hongmei Wang,Qi Zhou,Jianguo Zhao",,"https://cran.r-project.org/package=wfindr, https://cran.r-project.org/package=indexr, https://github.com/cran/CIfinder, https://cran.r-project.org/package=affiner, https://github.com/cran/wfindr, https://github.com/idmn/wfindr, https://cran.r-project.org/package=CIfinder, https://github.com/cran/affiner, https://github.com/cran/TSEind, https://github.com/lharris421/indexr, https://github.com/cran/indexr, https://github.com/trevorld/affiner, https://cran.r-project.org/package=TSEind"
Factoshiny,"Factoshiny package running within RStudio platform was used for HCPC (48, 49).",10.3389/fnut.2021.592340,"FactoShiny,Factoshiny,FactoShiny R",R,"Keneth Iceland Kasozi,Yunusu Hamira,Gerald Zirintunda,Khalaf F. Alsharif,Farag M. A. Altalbawy,Justine Ekou,Andrew Tamale,Kevin Matama,Fred Ssempijja,Robert Muyinda,Francis Kawooya,Theophilus Pius,Hellen Kisakye,Paul Bogere,Henry Matovu,Leonard Omadang,Patrick Etiang,Joseph Mbogua,Juma John Ochieng,Lawrence Obado Osuwat,Regan Mujinya,Gaber El‐Saber Batiha,Ochan Otim","https://cran.r-project.org/package=Factoshiny, https://github.com/cran/Factoshiny, https://cran.r-project.org/web/packages/Factoshiny/index.html","https://github.com/husson/Factoshiny, https://cran.r-project.org/package=protoshiny, https://cran.r-project.org/package=FactoMineR, https://github.com/cran/FactoMineR, https://github.com/cran/protoshiny, https://github.com/husson/FactoMineR, https://github.com/alekrutkowski/autoshiny, https://github.com/cran/autoshiny, https://cran.r-project.org/package=autoshiny"
Factoshiny,Factoshiny software package running within RStudio was used for HCPC analysis,10.1038/s41598-021-98634-0,"FactoShiny,Factoshiny,FactoShiny R",R,"Francesca Nyega Otim,I−Ru Chen,Ochan Otim","https://cran.r-project.org/package=Factoshiny, https://github.com/cran/Factoshiny, https://cran.r-project.org/web/packages/Factoshiny/index.html","https://github.com/husson/Factoshiny, https://cran.r-project.org/package=protoshiny, https://cran.r-project.org/package=FactoMineR, https://github.com/cran/FactoMineR, https://github.com/cran/protoshiny, https://github.com/husson/FactoMineR, https://github.com/alekrutkowski/autoshiny, https://github.com/cran/autoshiny, https://cran.r-project.org/package=autoshiny"
Factoshiny,PCA was used to identify correlations among the strains using the genetic information and data from the isolation sources generated in the current study and the FactoMineR and Factoshiny packages (version 1.42) in R (version 3.5.2) software (https://cran.r-project.org/),10.1186/s12866-019-1678-1,"FactoShiny,Factoshiny,FactoShiny R",R,"Akiko Okutani,Satoshi Inoue,Akira Noguchi,Yoshihiro Kaku,Shigeru Morikawa","https://cran.r-project.org/package=Factoshiny, https://github.com/cran/Factoshiny, https://cran.r-project.org/web/packages/Factoshiny/index.html","https://github.com/husson/Factoshiny, https://cran.r-project.org/package=protoshiny, https://cran.r-project.org/package=FactoMineR, https://github.com/cran/FactoMineR, https://github.com/cran/protoshiny, https://github.com/husson/FactoMineR, https://github.com/alekrutkowski/autoshiny, https://github.com/cran/autoshiny, https://cran.r-project.org/package=autoshiny"
