id,name,doi,paragraph,authors_oa,authors,url (ground truth),annotator,comments,candidate_urls,language,synonyms,metadata_name,metadata_authors,metadata_keywords,metadata_description,metadata_language
24,Django,10.1186/1471-2164-15-371,"The web interface is powered by a Python application built on Django (an open source web framework), HTML/CSS and Javascript","https://openalex.org/A5058377928,https://openalex.org/A5086013075,https://openalex.org/A5041394700,https://openalex.org/A5039962735,https://openalex.org/A5039022206,https://openalex.org/A5001592809,https://openalex.org/A5000409643,https://openalex.org/A5090538400,https://openalex.org/A5037919679,https://openalex.org/A5048542531,https://openalex.org/A5036782473,https://openalex.org/A5038063352,https://openalex.org/A5009036748,https://openalex.org/A5073061863,https://openalex.org/A5074759252,https://openalex.org/A5037231424,https://openalex.org/A5030789298,https://openalex.org/A5028743856,https://openalex.org/A5076782209,https://openalex.org/A5021991831,https://openalex.org/A5001756326,https://openalex.org/A5045608907,https://openalex.org/A5021025403,https://openalex.org/A5011762748,https://openalex.org/A5052289187,https://openalex.org/A5043644263,https://openalex.org/A5001371653,https://openalex.org/A5026693986,https://openalex.org/A5084994304,https://openalex.org/A5047647101,https://openalex.org/A5020525834,https://openalex.org/A5033198955,https://openalex.org/A5075515962,https://openalex.org/A5102724098,https://openalex.org/A5089938767,https://openalex.org/A5079783179,https://openalex.org/A5035853214,https://openalex.org/A5051872856,https://openalex.org/A5025969848,https://openalex.org/A5076091802,https://openalex.org/A5085208431,https://openalex.org/A5038480700,https://openalex.org/A5086479498,https://openalex.org/A5079044789,https://openalex.org/A5042070963,https://openalex.org/A5027138364,https://openalex.org/A5020205217,https://openalex.org/A5072351565,https://openalex.org/A5063072269,https://openalex.org/A5101953872,https://openalex.org/A5059011118,https://openalex.org/A5054947468,https://openalex.org/A5058637044,https://openalex.org/A5040966325,https://openalex.org/A5078839558,https://openalex.org/A5059329448,https://openalex.org/A5049474052,https://openalex.org/A5008753901,https://openalex.org/A5011660709,https://openalex.org/A5085031857,https://openalex.org/A5101978802,https://openalex.org/A5015020464,https://openalex.org/A5103563750","José B. Pereira‐Leal,Isabel A. Abreu,Cláudia S Alabaça,Maria Helena Almeida,Paulo Almeida,Tânia Almeida,Isabel Amorim,Susana de Sousa Araújo,Herlânder Azevedo,Aleix Badia,Dora Batista,Andreas Böhn,Tiago Capote,Isabel Carrasquinho,Inês Chaves,Ana Cristina Coelho,Maria Manuela Ribeiro Costa,Rita Costa,Alfredo Cravador,Conceição Egas,Carlos Faro,Ana Margarida Fortes,Ana S. Fortunato,Maria João Gaspar,Sónia Gonçalves,José Graça,Marília Horta Jung,Vera Inácio,José Leitão,Teresa Lino‐Neto,Liliana Marum,José Matos,Diogo Mendonça,Andreia Miguel,Celia María Gonzalo Miguel,Leonor Morais‐Cecílio,Isabel Queirós Neves,Filomena Nóbrega,M. Margarida Oliveira,Rute Oliveira,Jorge C. Pais,Jorge A. P. Paiva,Octávio S. Paulo,Miguel Pinheiro,João Raimundo,José C. Ramalho,Ana I. Ribeiro‐Barros,Teresa Ribeiro,Margarida Rocheta,Ana Raquel Rodrigues,José Carlos Rodrígues,Nelson J. M. Saibo,Tatiana Santo,Ana Cláudia dos Santos,Paula Sá–Pereira,Mónica Sebastiana,Fernanda Simões,Rómulo Sobral,R. M. Tavares,Rita Teixeira,J.A. Varela,Maria das Dores Magalhães Veloso,Cândido PP Ricardo","https://pypi.org/project/Django/, https://github.com/django/django",JelenaDuric,,nan,Python,"Django Python Web framework,Djangology,Django CMS,Django Python,django,DJANGOS,Django web,Django-rest,django-open,django-auth,Django Web",,,,,
25,Django,10.1186/s12859-018-2082-9,"DecoFungi is implemented in Python using several open-source libraries: Django (as the Web application framework), OpenCV (library for image processing and computer vision), the Keras framework with a Tensorflow back-end (provides the deep learning techniques), and the scikit-learn library (library for machine learning).","https://openalex.org/A5100602979,https://openalex.org/A5008590671,https://openalex.org/A5008080867,https://openalex.org/A5027346365","César Domínguez,Jónathan Heras,Eloy Mata,Vico Pascual","https://pypi.org/project/Django/, https://github.com/django/django",JelenaDuric,,nan,Python,"Django Python Web framework,Djangology,Django CMS,Django Python,django,DJANGOS,Django web,Django-rest,django-open,django-auth,Django Web",,,,,
26,Django,10.1186/s12911-019-0750-y,"The main tools and the development environments that we utilized in developing VIADS include Django, Python, JavaScript, Vis.js, Graph.js, JQuery, Plotly, Chart.js, Unittest, R, and MySQL","https://openalex.org/A5060862724,https://openalex.org/A5048226575,https://openalex.org/A5103719326,https://openalex.org/A5102322653,https://openalex.org/A5063598228,https://openalex.org/A5061878357,https://openalex.org/A5100353280,https://openalex.org/A5085160284,https://openalex.org/A5038271262,https://openalex.org/A5088038199,https://openalex.org/A5070667587,https://openalex.org/A5047328073","Xia Jing,Matthew Emerson,David Masters,Matthew Brooks,Jacob Buskirk,Nasseef Abukamail,Chang Liu,James J. Cimino,Jay H. Shubrook,Sonsoles de Lacalle,Yuchun Zhou,Vimla L. Patel","https://pypi.org/project/Django/, https://github.com/django/django",JelenaDuric,,nan,Python,"Django Python Web framework,Djangology,Django CMS,Django Python,django,DJANGOS,Django web,Django-rest,django-open,django-auth,Django Web",,,,,
27,Django,10.3389/fimmu.2019.02820,"This web tool was built using the Django web framework (24) and makes use of several Python libraries including scikit-learn (23), SciPy (25), Pyteomics (26), Altair (27), NumPy (28), Pandas (29), and Dask (30)","https://openalex.org/A5023604446,https://openalex.org/A5026975552,https://openalex.org/A5053271927,https://openalex.org/A5043815279,https://openalex.org/A5017109116,https://openalex.org/A5024445778,https://openalex.org/A5024401144","Sofie Gielis,Pieter Moris,Wout Bittremieux,Nicolas De Neuter,Benson Ogunjimi,Kris Laukens,Pieter Meysman","https://pypi.org/project/Django/, https://github.com/django/django",JelenaDuric,,nan,Python,"Django Python Web framework,Djangology,Django CMS,Django Python,django,DJANGOS,Django web,Django-rest,django-open,django-auth,Django Web",,,,,
28,Django,10.3390/metabo5030431,The Django Python package makes building web requests that integrated diverse data stores straightforward [19] The API defined in Django allows access to both of these resources.,"https://openalex.org/A5108640130,https://openalex.org/A5083278142,https://openalex.org/A5116066643,https://openalex.org/A5068359298,https://openalex.org/A5044268097,https://openalex.org/A5049109394","Yushu Yao,Terence Sun,Tony Wang,Oliver Ruebel,Trent R. Northen,Benjamin P. Bowen","https://pypi.org/project/Django/, https://github.com/django/django",JelenaDuric,,nan,Python,"Django Python Web framework,Djangology,Django CMS,Django Python,django,DJANGOS,Django web,Django-rest,django-open,django-auth,Django Web",,,,,
29,Django,10.3390/s20102962,"However, the cloud platform is being re-developed from scratch to create a highly scalable cloud, using Angular [43] for web development, and Django [44] as the web framework, with OAuth 2.0 authentication [45]","https://openalex.org/A5039646354,https://openalex.org/A5088264111,https://openalex.org/A5028230780,https://openalex.org/A5078460585,https://openalex.org/A5050368394","Santiago González Izard,Ramiro Sánchez Torres,Óscar Alonso Plaza,Juan Antonio Juanes Méndez,Francisco José García‐Peñalvo","https://pypi.org/project/Django/, https://github.com/django/django",JelenaDuric,,nan,,"Django Python Web framework,Djangology,Django CMS,Django Python,django,DJANGOS,Django web,Django-rest,django-open,django-auth,Django Web",,,,,
30,Django,10.3390/vaccines8040709,The ML models with the best performance were implemented on a web server using the Python and Django framework,"https://openalex.org/A5051812430,https://openalex.org/A5073654665,https://openalex.org/A5052238096","Ivan Dimitrov,Nevena Zaharieva,Irini Doytchinova","https://pypi.org/project/Django/, https://github.com/django/django",JelenaDuric,,nan,Python,"Django Python Web framework,Djangology,Django CMS,Django Python,django,DJANGOS,Django web,Django-rest,django-open,django-auth,Django Web",,,,,
31,Django,10.4269/ajtmh.2011.10-0528,The RapidSMS™ platform is based on the Django web framework and written in Python programming language,"https://openalex.org/A5022280287,https://openalex.org/A5008024633,https://openalex.org/A5049046007,https://openalex.org/A5088932929,https://openalex.org/A5029998518,https://openalex.org/A5048034393,https://openalex.org/A5076888688,https://openalex.org/A5107413745,https://openalex.org/A5034352383","Caroline Asiimwe,David Gelvin,Evan Lee,Yanis Ben Amor,Ebony Quinto,Charles Katureebe,S. Lakshmi,David S.H. Bell,Matt Berg","https://pypi.org/project/Django/, https://github.com/django/django",JelenaDuric,,nan,Python,"Django Python Web framework,Djangology,Django CMS,Django Python,django,DJANGOS,Django web,Django-rest,django-open,django-auth,Django Web",,,,,
32,FinCal,10.3390/insects12040298,"To calculate the profitability criteria, the FinCal package [37] was used","https://openalex.org/A5066074825,https://openalex.org/A5032093077,https://openalex.org/A5029016124,https://openalex.org/A5006042536,https://openalex.org/A5072125331,https://openalex.org/A5036790084,https://openalex.org/A5012849326","Ouorou Ganni Mariel Guera,Federico Castrejón-Ayala,Norma Robledo,Alfredo Jiménez‐Pérez,Georgina Sánchez-Rivera,Lilia Salazar-Marcial,Hilda Elizabet Flores Moctezuma","https://cran.r-project.org/package=FinCal, https://github.com/felixfan/FinCal, https://github.com/cran/FinCal",JelenaDuric,,nan,,inCal,,,,,
33,Flask,10.1038/s41598-021-87134-w,"We developed a user-friendly web-server to implement the BChemRF-CPPred, which was coded using Flask, HTML, CSS, and JavaScript programming languages","https://openalex.org/A5065296904,https://openalex.org/A5087075382,https://openalex.org/A5020510374,https://openalex.org/A5021424321,https://openalex.org/A5012669201","Ewerton Cristhian Lima de Oliveira,Kauê Santana da Costa,Luiz Patrick Cordeiro Josino,Anderson Henrique Lima e Lima,Claudomiro Sales","https://pypi.org/project/Flask/, https://github.com/pallets/flask/",JelenaDuric,,nan,JavaScript,"Flask Python library,FLASKA,Python Flask,Flask MVC,Flask Python,Flask Python Framework,FLAS,Flask Web",,,,,
34,Flask,10.1093/bioinformatics/bty999,"GBE extends the ExAC browser (Karczewski ) which is built in Python, utilizes Flask framework and uses d3 and plot.ly for plot rendering","https://openalex.org/A5072601014,https://openalex.org/A5003493606,https://openalex.org/A5070611249,https://openalex.org/A5000981301,https://openalex.org/A5008741311,https://openalex.org/A5060103420,https://openalex.org/A5073710029","Gregory McInnes,Yosuke Tanigawa,Chris DeBoever,Adam Lavertu,Julia Olivieri,Matthew Aguirre,Manuel A. Rivas","https://pypi.org/project/Flask/, https://github.com/pallets/flask/",JelenaDuric,,nan,Python,"Flask Python library,FLASKA,Python Flask,Flask MVC,Flask Python,Flask Python Framework,FLAS,Flask Web",,,,,
35,Flask,10.1093/database/baaa106,Python 3 using Flask was used as the framework programming language to develop a common interface (Figure 1).,"https://openalex.org/A5022651204,https://openalex.org/A5039502579,https://openalex.org/A5012626480,https://openalex.org/A5091903107","Edgardo Galán-Vásquez,Beatríz Luna,Marcelino Ramírez-Ibáñez,Agustino Martínez‐Antonio","https://pypi.org/project/Flask/, https://github.com/pallets/flask/",JelenaDuric,,nan,Python,"Flask Python library,FLASKA,Python Flask,Flask MVC,Flask Python,Flask Python Framework,FLAS,Flask Web",,,,,
36,Flask,10.1093/database/baw052,"The frontend HTML is designed using Flask (version 0.10.1), a web framework for Python (version 3.4.1)","https://openalex.org/A5027192327,https://openalex.org/A5019729791,https://openalex.org/A5029958913,https://openalex.org/A5016610225,https://openalex.org/A5021323606,https://openalex.org/A5111676146,https://openalex.org/A5053283140","Christopher Hardt,Moritz Emanuel Beber,Axel Rasche,Atanas Kamburov,Dennie G.A.J. Hebels,Jos Kleinjans,Ralf Herwig","https://pypi.org/project/Flask/, https://github.com/pallets/flask/",JelenaDuric,,nan,Python,"Flask Python library,FLASKA,Python Flask,Flask MVC,Flask Python,Flask Python Framework,FLAS,Flask Web",,,,,
