id,name,doi,paragraph,authors_oa,authors,field/topic/keywords,url (ground truth),reference,annotator,comments,candidate_urls,probability (ground truth)
11,Python package sklearn,10.1186/s13059-020-02189-8,"With the values for the above sequence and epigenetic features and the category labels, we performed random forest analysis using the RandomForestRegressor function in the Python package sklearn [57] to evaluate the importance of each feature to the DNA methylation heterogeneity.","https://openalex.org/A5080880073,https://openalex.org/A5081128142,https://openalex.org/A5009826802,https://openalex.org/A5012094633,https://openalex.org/A5058603003,https://openalex.org/A5017178504,https://openalex.org/A5021231816","Chengchen Zhao,Naiqian Zhang,Yalin Zhang,Nuermaimaiti Tuersunjiang,Shaorong Gao,Wenqiang Liu,Yong Zhang","DNA methylation,Epigenetics,Biology,Methylation,DNA",https://github.com/scikit-learn/scikit-learn,,DanielGarijo,,https://github.com/scikit-learn/scikit-learn,1
12,Python package sklearn,10.3390/ijms21030713,"Each ML method was applied with its default settings using Python package sklearn [40], both with and without data trimming, separately for each dataset","https://openalex.org/A5030144117,https://openalex.org/A5073346552,https://openalex.org/A5080912691,https://openalex.org/A5077749610,https://openalex.org/A5008472454,https://openalex.org/A5062609945","Victor Tkachev,Maxim Sorokin,Constantin Borisov,Andrew Garazha,Anton Buzdin,Nicolas Borisov","Artificial intelligence,Support vector machine,Computer science,Machine learning,Random forest",https://github.com/scikit-learn/scikit-learn,,DanielGarijo,,https://github.com/scikit-learn/scikit-learn,1
13,sklearn python package,10.3390/s21041463,"The tuned hyper-parameters were: The training set was split in train and validation using the train_test_split function from the sklearn python package, using a 80-20% split, ensuring stratification on the predicted class","https://openalex.org/A5046475893,https://openalex.org/A5080713233,https://openalex.org/A5054717588,https://openalex.org/A5007584366,https://openalex.org/A5040302008","Davide Morelli,Alessio Rossi,Leonardo Bartoloni,Massimo Cairo,David A. Clifton","Standard deviation,Heart rate variability,QRS complex,Wearable computer,Wearable technology",https://github.com/scikit-learn/scikit-learn,,DanielGarijo,,https://github.com/scikit-learn/scikit-learn,1
14,sklearn python package,10.7554/eLife.52611,"Regression coefficients were calculated using the sklearn.linear_model.Ridge function from the sklearn python package (Pedregosa et al., 2011) where X is 111 x d (and d is the number of transcripts) and y is the vector for RRTS values for each transcript","https://openalex.org/A5079198530,https://openalex.org/A5050772561","Jamie R Wangen,Rachel Green","Stop codon,Biology,Genetics,Gene,Start codon,Ribosome profiling",https://github.com/scikit-learn/scikit-learn,,DanielGarijo,,https://github.com/scikit-learn/scikit-learn,1
15,Python sklearn library,10.1155/2020/1384749,The SVM and RF algorithms were implemented using the Python sklearn library [49],"https://openalex.org/A5041297347,https://openalex.org/A5063918150,https://openalex.org/A5072808334,https://openalex.org/A5084393249,https://openalex.org/A5011641116","Xiuzhi Sang,Wanyue Xiao,Huiwen Zheng,Yang Yang,Taigang Liu","Support vector machine,Hidden Markov model,Feature selection,Computer science,Artificial intelligence,Classifier (UML),Machine learning,Benchmark (surveying)",https://github.com/scikit-learn/scikit-learn,,DanielGarijo,,https://github.com/scikit-learn/scikit-learn,1
16,Python sklearn library,10.3390/e22111274,It is implemented using Python sklearn library which provides highly standardised and efficient set of tools for calculation clustering quality and clustering comparison scores,"https://openalex.org/A5024201606,https://openalex.org/A5025746657,https://openalex.org/A5009774873","Alexander Chervov,Jonathan Bac,Andreï Zinovyev","Computer science,Cluster analysis,Python (programming language),Data point",https://github.com/scikit-learn/scikit-learn,,DanielGarijo,,https://github.com/scikit-learn/scikit-learn,1
17,Python sklearn library,10.3389/fonc.2021.652063,"Thus, to further characterize them we used several non-deep ML methods implemented in the Python sklearn library (56).","https://openalex.org/A5062609945,https://openalex.org/A5036486756,https://openalex.org/A5079640410,https://openalex.org/A5026147560,https://openalex.org/A5038935137,https://openalex.org/A5050028940,https://openalex.org/A5007439439,https://openalex.org/A5030674790,https://openalex.org/A5077749610,https://openalex.org/A5030144117,https://openalex.org/A5038695859,https://openalex.org/A5073346552,https://openalex.org/A5021451057,https://openalex.org/A5008472454","Nicolas Borisov,Anna Sergeeva,Maria Suntsova,Mikhail Raevskiy,Нуршат Гайфуллин,Л. П. Менделеева,Alexander Gudkov,Maria Nareiko,Andrew Garazha,Victor Tkachev,Xinmin Li,Maxim Sorokin,В. Л. Сурин,Anton Buzdin","Bortezomib,Multiple myeloma,Dexamethasone,Medicine,Oncology",https://github.com/scikit-learn/scikit-learn,,DanielGarijo,,https://github.com/scikit-learn/scikit-learn,1
18,Python sklearn library,10.2196/19133,We computed bag-of-words models using the TfIdfVectorizer() function in the Python sklearn library [43].,"https://openalex.org/A5057722785,https://openalex.org/A5084833828,https://openalex.org/A5055405987,https://openalex.org/A5010445307,https://openalex.org/A5060873310","Andrea Ferrario,Burcu Demiray,Kristina Yordanova,Minxia Luo,Mike Martin","Reminiscence,Artificial intelligence,Machine learning,Computer science,Random forest,Natural language processing",https://github.com/scikit-learn/scikit-learn,,DanielGarijo,,https://github.com/scikit-learn/scikit-learn,1
19,Python sklearn,10.3390/pharmaceutics13071026,Drug molecular features were standardised by removing their mean and scaling to unit variance (performed with the StandardScaler tool in the Python sklearn.preprocessing library),"https://openalex.org/A5069869080,https://openalex.org/A5062166996,https://openalex.org/A5074277071,https://openalex.org/A5063675922,https://openalex.org/A5020162492","Laura E. McCoubrey,Moe Elbadawi,Mine Orlu,Simon Gaisford,Abdul W. Basit","Microbiome,Gut microbiome,Drug,Machine learning",https://github.com/scikit-learn/scikit-learn,,DanielGarijo,,https://github.com/scikit-learn/scikit-learn,1
20,Python sklearn,10.3390/e22111274,Having produced clustering of the dataset by several approximating graphs (see previous steps) one can use the well-established and efficiently implemented in Python sklearn library scores for clustering comparison,"https://openalex.org/A5024201606,https://openalex.org/A5025746657,https://openalex.org/A5009774873","Alexander Chervov,Jonathan Bac,Andreï Zinovyev","Computer science,Cluster analysis,Python (programming language),Data point",https://github.com/scikit-learn/scikit-learn,,DanielGarijo,,https://github.com/scikit-learn/scikit-learn,1
21,Python sklearn,10.3390/e22111274,They are efficiently implemented in Python sklearn library,"https://openalex.org/A5024201606,https://openalex.org/A5025746657,https://openalex.org/A5009774873","Alexander Chervov,Jonathan Bac,Andreï Zinovyev","Computer science,Cluster analysis,Python (programming language),Data point",https://github.com/scikit-learn/scikit-learn,,DanielGarijo,,https://github.com/scikit-learn/scikit-learn,1
22,Python sklearn,10.3389/fnins.2021.629892,"The task consists in training a 256-500-500-10 network to solve a synthetic classification problem with 16×16-pixel images and 10 classes; the data to classify is generated automatically with the Python sklearn library (Pedregosa et al., 2011) (see section 4)","https://openalex.org/A5053902946,https://openalex.org/A5042230376,https://openalex.org/A5065138463","Charlotte Frenkel,Martin Lefebvre,David Bol","Computer science,Backpropagation,Artificial neural network,Feed forward,Artificial intelligence,Enhanced Data Rates for GSM Evolution",https://github.com/scikit-learn/scikit-learn,"Pedregosa et al., 2011",DanielGarijo,,https://github.com/scikit-learn/scikit-learn,1
23,Python sklearn,10.3389/frobt.2019.00049,"We compared the performances of four of classifier (random forest classifier, extra-tree classifier, multi-layer perceptron classifier and a k-Nearest Neighbor classifier, using implementations from the Python sklearn toolkit; hyper-parameters were optimized using a grid search where applicable), and eventually selected a k-Nearest Neighbor (with k = 3) classifier as providing the best overall classification performance.","https://openalex.org/A5012225110,https://openalex.org/A5067344223,https://openalex.org/A5035627933,https://openalex.org/A5081506012,https://openalex.org/A5074580437","Madeleine Bartlett,Charlotte Edmunds,Tony Belpaeme,Serge Thill,Séverin Lemaignan","Computer science,Natural (archaeology)",https://github.com/scikit-learn/scikit-learn,,DanielGarijo,,https://github.com/scikit-learn/scikit-learn,1
24,Python sklearn,10.3389/frobt.2019.00049,"Accuracy, precision, recall and F1 score were calculated to assess the performance of the classifier (following recommendations in Sorower (2010) and using the weighted implementations of the metrics available in the Python sklearn toolkit)","https://openalex.org/A5012225110,https://openalex.org/A5067344223,https://openalex.org/A5035627933,https://openalex.org/A5081506012,https://openalex.org/A5074580437","Madeleine Bartlett,Charlotte Edmunds,Tony Belpaeme,Serge Thill,Séverin Lemaignan","Computer science,Natural (archaeology)",https://github.com/scikit-learn/scikit-learn,,DanielGarijo,,https://github.com/scikit-learn/scikit-learn,1
25,sklearn Python,10.1186/s12859-020-03582-7,"Next, a random forest model is trained (using the sklearn Python package) to classify compounds as to their bioactivity against the protein of interest","https://openalex.org/A5041357983,https://openalex.org/A5032549628,https://openalex.org/A5018093575,https://openalex.org/A5001250049","Kenneth Westerman,Sean Harrington,José M. Ordovás,Laurence D. Parnell","chEMBL,Computational biology,DrugBank,Peroxisome proliferator-activated receptor gamma,PubChem,Novel food",https://github.com/scikit-learn/scikit-learn,,DanielGarijo,,https://github.com/scikit-learn/scikit-learn,1
26,sklearn,10.1021/acsomega.1c00991,"Machine learning procedures were used/implemented with sklearn, tensorflow, and (for the GNN) pytorch-geometric, while the fingerprints were generated with Dscribe(54) and our own implementation of the PDDF","https://openalex.org/A5063246921,https://openalex.org/A5024700821","Felix Mayr,Alessio Gagliardi","Benchmark (surveying),Fingerprint (computing),Computer science,Workflow",https://github.com/scikit-learn/scikit-learn,,DanielGarijo,,https://github.com/scikit-learn/scikit-learn,1
27,sklearn,10.18632/aging.203447,Analyses were performed using the sklearn (version 0.20.3) and lifelines (version 0.19.5) packages in python.,"https://openalex.org/A5014005059,https://openalex.org/A5081086157,https://openalex.org/A5080026350,https://openalex.org/A5085869644,https://openalex.org/A5081875263,https://openalex.org/A5013113087","Ted Kheng Siang Ng,David B. Matchar,Timothy V. Pyrkov,П. О. Федичев,Angelique Chan,Brian K. Kennedy","Socioeconomic status,Demography,Body mass index,Gerontology",https://github.com/scikit-learn/scikit-learn,,DanielGarijo,,https://github.com/scikit-learn/scikit-learn,1
28,SKLEARN,10.1155/2020/8858588,Li [4] proposed an SKLEARN system based on automatic machine learning,"https://openalex.org/A5001583614,https://openalex.org/A5021809024,https://openalex.org/A5046838751,https://openalex.org/A5086704396","Li Ji,Huiqiang Zhang,Jianping Ou,Wei Wang","Computer science,Radar,Universal Software Radio Peripheral,Convolutional neural network,Robustness (evolution)",https://github.com/scikit-learn/scikit-learn,,DanielGarijo,,https://github.com/scikit-learn/scikit-learn,1
29,SKLEARN,10.1155/2020/8858588,"Through the automatic solution algorithm of the SKLEARN system and the optimization of hyperparameters, the accuracy of radar signal recognition is improved and the stability is more reliable","https://openalex.org/A5001583614,https://openalex.org/A5021809024,https://openalex.org/A5046838751,https://openalex.org/A5086704396","Li Ji,Huiqiang Zhang,Jianping Ou,Wei Wang","Computer science,Radar,Universal Software Radio Peripheral,Convolutional neural network,Robustness (evolution)",https://github.com/scikit-learn/scikit-learn,,DanielGarijo,,https://github.com/scikit-learn/scikit-learn,1
30,SKLEARN,10.3389/fmicb.2019.01084,"As SKLEARN represents a machine learning approach, the additional flexibility provided was to assign taxonomy after training the algorithm with extracted reference sequences from the SILVA and UNITE databases using the aforementioned PCR primers and trimmed to a length equal to the maximum length of the reads after quality filtering","https://openalex.org/A5090547814,https://openalex.org/A5015645800,https://openalex.org/A5036507910","Dimitrios Kioroglou,Albert Mas,María del Carmen Machuca Portillo","Workflow,Computer science",https://github.com/scikit-learn/scikit-learn,,DanielGarijo,,https://github.com/scikit-learn/scikit-learn,1
31,SKLEARN,10.3389/fmicb.2019.01084,The training process of SKLEARN is based on k-mers where the value 7 was used as it is the default balanced QIIME 2 parameter,"https://openalex.org/A5090547814,https://openalex.org/A5015645800,https://openalex.org/A5036507910","Dimitrios Kioroglou,Albert Mas,María del Carmen Machuca Portillo","Workflow,Computer science",https://github.com/scikit-learn/scikit-learn,,DanielGarijo,,https://github.com/scikit-learn/scikit-learn,1
32,SKLEARN,10.3389/fmicb.2019.01084,"In relaxed terms, during the training process SKLEARN splits each reference sequence into a series of overlapping heptamers and assigns a level of taxonomy to a given collection of heptamers","https://openalex.org/A5090547814,https://openalex.org/A5015645800,https://openalex.org/A5036507910","Dimitrios Kioroglou,Albert Mas,María del Carmen Machuca Portillo","Workflow,Computer science",https://github.com/scikit-learn/scikit-learn,,DanielGarijo,,https://github.com/scikit-learn/scikit-learn,1
33,SKLEARN,10.3389/fmicb.2019.01084,"Later on, during the classification process SKLEARN splits each sequence once again into a collection of overlapping heptamers, and tries to assign a level of taxonomy by taking into consideration the collections of heptamers from the reference sequences","https://openalex.org/A5090547814,https://openalex.org/A5015645800,https://openalex.org/A5036507910","Dimitrios Kioroglou,Albert Mas,María del Carmen Machuca Portillo","Workflow,Computer science",https://github.com/scikit-learn/scikit-learn,,DanielGarijo,,https://github.com/scikit-learn/scikit-learn,1
34,Pandas,10.1007/s00701-021-04837-9,The large datasets were analyzed using Python 3.8.2 in conjunction with Pandas 1.2.1 and NumPy 1.20.0 before statistical analysis.,"https://openalex.org/A5088450116,https://openalex.org/A5040624275,https://openalex.org/A5064362900,https://openalex.org/A5059613640,https://openalex.org/A5085927420,https://openalex.org/A5029593472,https://openalex.org/A5054004803","Justyna Lunkiewicz,Giovanna Brandi,Jan Willms,Christian Strässle,Gagan Narula,Emanuela Keller,Carl Muroi","Nimodipine,Medicine,Anesthesia,Subarachnoid hemorrhage,Cardiac index,Context (archaeology)",https://github.com/pandas-dev/pandas,,DanielGarijo,,https://github.com/pandas-dev/pandas,1
35,Pandas,10.1002/advs.202001314,"Statistical analyses were performed using Python libraries Numpy, Scipy, and Pandas.","https://openalex.org/A5072616968,https://openalex.org/A5080207299","Wenze Ding,H. Gong","Protein structure prediction,Residue (chemistry),Computer science",https://github.com/pandas-dev/pandas,,DanielGarijo,,https://github.com/pandas-dev/pandas,1
36,Pandas,10.1021/acs.analchem.0c04373,The package was written with Python (v.3.6.6) and relied heavily on Pandas (v,"https://openalex.org/A5051315186,https://openalex.org/A5044703855,https://openalex.org/A5028219671,https://openalex.org/A5021904890,https://openalex.org/A5017915086","Kang-Yu Peng,Malinda Salim,Joseph Pelle,Gisela Ramirez,Ben J. Boyd","Bovine milk,Chemistry",https://github.com/pandas-dev/pandas,,DanielGarijo,,https://github.com/pandas-dev/pandas,1
37,Pandas,10.3390/ani11030865,"To obtain the bacterial composition and function profiles of sable intestinal microbiome, the proportion of microbes at different taxonomic levels and functional gene benchmark were calculated in the NumPy and Pandas packages in Python","https://openalex.org/A5072154816,https://openalex.org/A5038097386,https://openalex.org/A5041109699,https://openalex.org/A5020090863,https://openalex.org/A5059693277,https://openalex.org/A5039418899,https://openalex.org/A5047509131,https://openalex.org/A5013496105,https://openalex.org/A5012199734","Lantian Su,Xinxin Liu,Guang-Yao Jin,Yue Ma,Haoxin Tan,Muhammed Abdul Khalid,Martin Romantschuk,Shan Yin,Nan Hui","Habitat,Biology,Ecology,Firmicutes,Actinobacteria,Abundance (ecology),Relative species abundance",https://github.com/pandas-dev/pandas,,DanielGarijo,,https://github.com/pandas-dev/pandas,1
38,Pandas,10.3390/ani10060939,"The Python [15] language was used with critical libraries including SciPy [16,17], NumPy [18,19], Pandas [20], Scikit-Posthocs [21], Lifelines [22], Matplotlib/Seaborn [23,24], and FBProphet [25].","https://openalex.org/A5014936510,https://openalex.org/A5034892115,https://openalex.org/A5025106980,https://openalex.org/A5081619511","Kevin Horecka,Steve Porter,E. Susan Amirian,Ellen P. Jefferson","Canine parvovirus,Population,Parvovirus",https://github.com/pandas-dev/pandas,,DanielGarijo,,https://github.com/pandas-dev/pandas,1
39,Pandas,10.3390/antibiotics10040385,"The clean data were then merged with metadata (i.e., DOI, article title, year published, journal, PMC ID) from the paired JSON files for each article, and a combination of Pandas, a popular python library with integrated data processing functions, data frames and NLTK processing were used to calculate the term counts per article","https://openalex.org/A5026126257,https://openalex.org/A5049359322,https://openalex.org/A5081565182,https://openalex.org/A5005488640,https://openalex.org/A5089598695,https://openalex.org/A5049830878,https://openalex.org/A5061221591,https://openalex.org/A5058552945","Lauren Wind,Jonathan Briganti,Anne M. Brown,Timothy P. Neher,Meghan F. Davis,Lisa M. Durso,Tanner Spicer,Stephanie Lansing","Context (archaeology),Antibiotic resistance",https://github.com/pandas-dev/pandas,,DanielGarijo,,https://github.com/pandas-dev/pandas,1
40,panda,10.1371/journal.pone.0228422,1: Load the data using read_csv() function of panda library,"https://openalex.org/A5035552325,https://openalex.org/A5020643085","Md. Raihan-Al-Masud,M. Rubaiyat Hossain Mondal","Support vector machine,Artificial intelligence,Feature selection,Computer science,Machine learning,Pattern recognition (psychology),Preprocessor",https://github.com/pandas-dev/pandas,,DanielGarijo,,https://github.com/pandas-dev/pandas,1
41,panda,10.3389/fnbeh.2021.709775,"The following data analysis and visualization was performed with R (R Core Team, 2020; version 3.4.2) and Python (version 3.8), using the panda package (version 1.2.3).","https://openalex.org/A5010044381,https://openalex.org/A5058570603,https://openalex.org/A5010834901,https://openalex.org/A5058162771,https://openalex.org/A5061905139,https://openalex.org/A5064129096,https://openalex.org/A5043551203","Pia Kahnau,Anja Guenther,Marcus N. Boon,Janine Denise Terzenbach,Eric Hanitzsch,Lars Lewejohann,Vera Brust","Cognition,Cage",https://github.com/pandas-dev/pandas,,DanielGarijo,,https://github.com/pandas-dev/pandas,1
42,panda,10.3389/fcvm.2021.619386,"We used Python version 3.7 as the basic language of the whole model and call numpy, panda, sklearn, xgboost, and Matplotlib libraries to process and model the data","https://openalex.org/A5064560407,https://openalex.org/A5062802948,https://openalex.org/A5061511972,https://openalex.org/A5033739869,https://openalex.org/A5052895969,https://openalex.org/A5021948453,https://openalex.org/A5001487780,https://openalex.org/A5010254971,https://openalex.org/A5090414029,https://openalex.org/A5087757082,https://openalex.org/A5016028341,https://openalex.org/A5029444990","Dongmei Wu,Qiuju Yang,Baohua Su,Hao Jia,MA Hui-rong,Weilan Yuan,Junhui Gao,Feifei Ding,Yue Xu,Huifeng Wang,Jiangman Zhao,Bingqiang Li","Medicine,Internal medicine,Coronary artery disease,Asymptomatic,Diabetes mellitus,Risk factor,Odds ratio,Triglyceride,Cardiology",https://github.com/pandas-dev/pandas,,DanielGarijo,,https://github.com/pandas-dev/pandas,1
43,panda,10.3389/fphys.2017.00354,"Bio-analysis was performed under Ubuntu 16.04 LTS Docker image (Hung et al., 2016) within a custom Python (Python Software Foundation, 2015) scripts using the packages biopython, pyexcel, csv, collection, panda, and matplotlib and R v3.3.1 (R Core Team, 2016) scripts within the ggplot2 and plotrix libraries","https://openalex.org/A5030475841,https://openalex.org/A5012278873,https://openalex.org/A5039846752,https://openalex.org/A5045094860,https://openalex.org/A5024864467,https://openalex.org/A5075295489,https://openalex.org/A5056969160,https://openalex.org/A5061325377,https://openalex.org/A5002649530,https://openalex.org/A5041196009","Rahim Dad Brohi,Li Wang,Najla Ben Hassine,Jiang Cao,Hira Sajjad Talpur,Di Wu,Chun–Jie Huang,Zia Ur Rehman,Dinesh Bhattarai,Li‐Jun Huo","SUMO protein,Acrosome,Sperm,Cell biology,Sperm motility,Biology,Capacitation,Motility,Acrosome reaction",https://github.com/pandas-dev/pandas,,DanielGarijo,,https://github.com/pandas-dev/pandas,1
44,panda,10.1186/s13073-021-00904-z,"Other requirements: PLINK v1.9; R packages: shiny, shinyjs, DT, RSQLite, ggplot2, heatmaply, plotly, future; Python packages: panda, scipy, joblib, tqdm, sqlite","https://openalex.org/A5050576391,https://openalex.org/A5012522200,https://openalex.org/A5034504298,https://openalex.org/A5046381871,https://openalex.org/A5056639842,https://openalex.org/A5043654825,https://openalex.org/A5041138720,https://openalex.org/A5007702905,https://openalex.org/A5015577952,https://openalex.org/A5018629539,https://openalex.org/A5033033452,https://openalex.org/A5025823000,https://openalex.org/A5023687769,https://openalex.org/A5007833163,https://openalex.org/A5058776349,https://openalex.org/A5085654664","Liuyang Wang,Thomas J Balmat,Alejandro L. Antonia,Florica J. Constantine,Ricardo Henao,Thomas W. Burke,Andy Ingham,Micah T. McClain,Ephraim L. Tsalik,Emily R Ko,Geoffrey S. Ginsburg,Mark DeLong,Xiling Shen,Christopher W. Woods,Elizabeth R. Hauser,Dennis C. Ko","Genome-wide association study,Genetic architecture,Biology,Computational biology,Genetic association",https://github.com/pandas-dev/pandas,,DanielGarijo,,https://github.com/pandas-dev/pandas,1
45,panda,10.1186/s13002-019-0306-3,"panda [35] and Cirina forda have been proposed [36, 37]",https://openalex.org/A5035250807,A. van Huis,"Lepidoptera genitalia,Butterfly,Biology,Caterpillar,Ecology",https://github.com/pandas-dev/pandas,,DanielGarijo,,https://github.com/pandas-dev/pandas,1
46,pandas,10.1021/acsomega.1c00991,"All calculations were done in a Python environment using the numpy, pandas, and ase packages for basic data manipulation and structure file handling; plotting was done with matplotlib","https://openalex.org/A5063246921,https://openalex.org/A5024700821","Felix Mayr,Alessio Gagliardi","Benchmark (surveying),Fingerprint (computing),Computer science,Workflow",https://github.com/pandas-dev/pandas,,DanielGarijo,,https://github.com/pandas-dev/pandas,1
